macamodel,rcp,zone,period,season,seasonal mean T (oC)
MIROC5,rcp85,Contributing Zone,1950-2005,Winter,9.442127456325197
MRI-CGCM3,rcp85,Contributing Zone,1950-2005,Winter,9.463674173897394
NorESM1-M,rcp85,Contributing Zone,1950-2005,Winter,9.408790668295206
bcc-csm1-1-m,rcp85,Contributing Zone,2010-2039,Winter,10.491839962526162
bcc-csm1-1,rcp85,Contributing Zone,2010-2039,Winter,10.630138268001307
BNU-ESM,rcp85,Contributing Zone,2010-2039,Winter,10.393945774017775
CanESM2,rcp85,Contributing Zone,2010-2039,Winter,10.741944118229034
CCSM4,rcp85,Contributing Zone,2010-2039,Winter,11.188128198024684
CNRM-CM5,rcp85,Contributing Zone,2010-2039,Winter,10.444870733146127
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2010-2039,Winter,10.559290530088818
GFDL-ESM2G,rcp85,Contributing Zone,2010-2039,Winter,11.035485823114323
GFDL-ESM2M,rcp85,Contributing Zone,2010-2039,Winter,10.53933796205968
HadGEM2-CC365,rcp85,Contributing Zone,2010-2039,Winter,11.458275731866642
HadGEM2-ES365,rcp85,Contributing Zone,2010-2039,Winter,11.244697992192162
inmcm4,rcp85,Contributing Zone,2010-2039,Winter,10.335262918077104
IPSL-CM5A-LR,rcp85,Contributing Zone,2010-2039,Winter,10.80752229914716
IPSL-CM5A-MR,rcp85,Contributing Zone,2010-2039,Winter,11.22165728200758
IPSL-CM5B-LR,rcp85,Contributing Zone,2010-2039,Winter,10.556000155400563
MIROC-ESM-CHEM,rcp85,Contributing Zone,2010-2039,Winter,11.020980173057824
MIROC-ESM,rcp85,Contributing Zone,2010-2039,Winter,10.44440331063387
MIROC5,rcp85,Contributing Zone,2010-2039,Winter,10.657116954655045
MRI-CGCM3,rcp85,Contributing Zone,2010-2039,Winter,9.851132856596132
NorESM1-M,rcp85,Contributing Zone,2010-2039,Winter,11.059635075926492
bcc-csm1-1-m,rcp85,Contributing Zone,2040-2069,Winter,12.016622706024096
bcc-csm1-1,rcp85,Contributing Zone,2040-2069,Winter,11.6012114669011
BNU-ESM,rcp85,Contributing Zone,2040-2069,Winter,12.357487808247887
CanESM2,rcp85,Contributing Zone,2040-2069,Winter,12.314723998212866
CCSM4,rcp85,Contributing Zone,2040-2069,Winter,11.933436427551982
CNRM-CM5,rcp85,Contributing Zone,2040-2069,Winter,12.20650804023228
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2040-2069,Winter,12.018117565233279
GFDL-ESM2G,rcp85,Contributing Zone,2040-2069,Winter,11.522546601506324
GFDL-ESM2M,rcp85,Contributing Zone,2040-2069,Winter,11.291274194060172
HadGEM2-CC365,rcp85,Contributing Zone,2040-2069,Winter,13.038624456882376
HadGEM2-ES365,rcp85,Contributing Zone,2040-2069,Winter,12.722139921159531
inmcm4,rcp85,Contributing Zone,2040-2069,Winter,11.127921261586692
IPSL-CM5A-LR,rcp85,Contributing Zone,2040-2069,Winter,12.163766572050287
IPSL-CM5A-MR,rcp85,Contributing Zone,2040-2069,Winter,12.840350389069027
IPSL-CM5B-LR,rcp85,Contributing Zone,2040-2069,Winter,11.826747050438305
MIROC-ESM-CHEM,rcp85,Contributing Zone,2040-2069,Winter,12.488794933520001
MIROC-ESM,rcp85,Contributing Zone,2040-2069,Winter,12.122253237719745
MIROC5,rcp85,Contributing Zone,2040-2069,Winter,12.300077773392404
MRI-CGCM3,rcp85,Contributing Zone,2040-2069,Winter,11.725079255884213
NorESM1-M,rcp85,Contributing Zone,2040-2069,Winter,12.408650100607646
bcc-csm1-1-m,rcp85,Contributing Zone,2070-2099,Winter,12.86406292664764
bcc-csm1-1,rcp85,Contributing Zone,2070-2099,Winter,12.74713131730628
BNU-ESM,rcp85,Contributing Zone,2070-2099,Winter,13.939167514442428
CanESM2,rcp85,Contributing Zone,2070-2099,Winter,14.136795297709256
CCSM4,rcp85,Contributing Zone,2070-2099,Winter,13.74833279134407
CNRM-CM5,rcp85,Contributing Zone,2070-2099,Winter,14.022141725053759
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2070-2099,Winter,14.23541603892612
GFDL-ESM2G,rcp85,Contributing Zone,2070-2099,Winter,12.138521569645262
GFDL-ESM2M,rcp85,Contributing Zone,2070-2099,Winter,12.53146027281338
HadGEM2-CC365,rcp85,Contributing Zone,2070-2099,Winter,15.089022380010986
HadGEM2-ES365,rcp85,Contributing Zone,2070-2099,Winter,14.650474770086484
inmcm4,rcp85,Contributing Zone,2070-2099,Winter,13.10090979450515
IPSL-CM5A-LR,rcp85,Contributing Zone,2070-2099,Winter,15.214232458287153
IPSL-CM5A-MR,rcp85,Contributing Zone,2070-2099,Winter,15.747982425954037
IPSL-CM5B-LR,rcp85,Contributing Zone,2070-2099,Winter,13.163364628230745
MIROC-ESM-CHEM,rcp85,Contributing Zone,2070-2099,Winter,14.789913722163808
MIROC-ESM,rcp85,Contributing Zone,2070-2099,Winter,13.9355361916007
MIROC5,rcp85,Contributing Zone,2070-2099,Winter,14.021127786371014
MRI-CGCM3,rcp85,Contributing Zone,2070-2099,Winter,12.94992699488047
NorESM1-M,rcp85,Contributing Zone,2070-2099,Winter,14.51477378756494
bcc-csm1-1-m,rcp45,Recharge Zone,1971-2000,Spring,19.935052479303394
bcc-csm1-1,rcp45,Recharge Zone,1971-2000,Spring,20.023271264917465
BNU-ESM,rcp45,Recharge Zone,1971-2000,Spring,20.1057115034464
CanESM2,rcp45,Recharge Zone,1971-2000,Spring,20.049629882795724
CCSM4,rcp45,Recharge Zone,1971-2000,Spring,20.205375141387144
CNRM-CM5,rcp45,Recharge Zone,1971-2000,Spring,19.88912202123275
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1971-2000,Spring,19.82410763431366
GFDL-ESM2G,rcp45,Recharge Zone,1971-2000,Spring,19.946654154275056
GFDL-ESM2M,rcp45,Recharge Zone,1971-2000,Spring,19.938158829053727
HadGEM2-CC365,rcp45,Recharge Zone,1971-2000,Spring,19.978579864635627
HadGEM2-ES365,rcp45,Recharge Zone,1971-2000,Spring,19.808678864117912
inmcm4,rcp45,Recharge Zone,1971-2000,Spring,19.97428162604849
IPSL-CM5A-LR,rcp45,Recharge Zone,1971-2000,Spring,20.23868245656958
IPSL-CM5A-MR,rcp45,Recharge Zone,1971-2000,Spring,20.107715352452313
IPSL-CM5B-LR,rcp45,Recharge Zone,1971-2000,Spring,20.176881706470017
MIROC-ESM-CHEM,rcp45,Recharge Zone,1971-2000,Spring,19.773855073914806
MIROC-ESM,rcp45,Recharge Zone,1971-2000,Spring,20.08271693681036
MIROC5,rcp45,Recharge Zone,1971-2000,Spring,20.08345311614437
MRI-CGCM3,rcp45,Recharge Zone,1971-2000,Spring,20.17720585880283
NorESM1-M,rcp45,Recharge Zone,1971-2000,Spring,19.78798654598539
bcc-csm1-1-m,rcp45,Recharge Zone,1950-2005,Spring,19.970185579379887
bcc-csm1-1,rcp45,Recharge Zone,1950-2005,Spring,19.978046623099598
BNU-ESM,rcp45,Recharge Zone,1950-2005,Spring,19.989052865729274
CanESM2,rcp45,Recharge Zone,1950-2005,Spring,19.97656174312696
CCSM4,rcp45,Recharge Zone,1950-2005,Spring,19.96817462277958
CNRM-CM5,rcp45,Recharge Zone,1950-2005,Spring,19.98091286899841
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1950-2005,Spring,19.98434593149267
GFDL-ESM2G,rcp45,Recharge Zone,1950-2005,Spring,19.976612445647415
GFDL-ESM2M,rcp45,Recharge Zone,1950-2005,Spring,19.968959752289397
HadGEM2-CC365,rcp45,Recharge Zone,1950-2005,Spring,20.006975951616198
HadGEM2-ES365,rcp45,Recharge Zone,1950-2005,Spring,19.99810769894282
inmcm4,rcp45,Recharge Zone,1950-2005,Spring,19.97070212546775
IPSL-CM5A-LR,rcp45,Recharge Zone,1950-2005,Spring,19.977912237104015
IPSL-CM5A-MR,rcp45,Recharge Zone,1950-2005,Spring,19.97724398528893
IPSL-CM5B-LR,rcp45,Recharge Zone,1950-2005,Spring,19.979076403386653
MIROC-ESM-CHEM,rcp45,Recharge Zone,1950-2005,Spring,19.98233653181006
MIROC-ESM,rcp45,Recharge Zone,1950-2005,Spring,19.977069913338482
MIROC5,rcp45,Recharge Zone,1950-2005,Spring,19.973957999028475
MRI-CGCM3,rcp45,Recharge Zone,1950-2005,Spring,19.987803873583733
NorESM1-M,rcp45,Recharge Zone,1950-2005,Spring,19.96962792154741
bcc-csm1-1-m,rcp45,Recharge Zone,2010-2039,Spring,21.2671183572129
bcc-csm1-1,rcp45,Recharge Zone,2010-2039,Spring,21.41748817289773
BNU-ESM,rcp45,Recharge Zone,2010-2039,Spring,20.947842766090762
CanESM2,rcp45,Recharge Zone,2010-2039,Spring,21.4456649286953
CCSM4,rcp45,Recharge Zone,2010-2039,Spring,21.519760612204795
CNRM-CM5,rcp45,Recharge Zone,2010-2039,Spring,20.847207039711453
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2010-2039,Spring,21.27045449761359
GFDL-ESM2G,rcp45,Recharge Zone,2010-2039,Spring,21.89317415226544
GFDL-ESM2M,rcp45,Recharge Zone,2010-2039,Spring,20.724766472664918
HadGEM2-CC365,rcp45,Recharge Zone,2010-2039,Spring,21.24875053382965
HadGEM2-ES365,rcp45,Recharge Zone,2010-2039,Spring,21.251432400245093
inmcm4,rcp45,Recharge Zone,2010-2039,Spring,20.77802970820087
IPSL-CM5A-LR,rcp45,Recharge Zone,2010-2039,Spring,21.65814016752447
IPSL-CM5A-MR,rcp45,Recharge Zone,2010-2039,Spring,21.287274355212467
IPSL-CM5B-LR,rcp45,Recharge Zone,2010-2039,Spring,20.97491757660144
MIROC-ESM-CHEM,rcp45,Recharge Zone,2010-2039,Spring,22.074925759657535
MIROC-ESM,rcp45,Recharge Zone,2010-2039,Spring,21.623813581677567
MIROC5,rcp45,Recharge Zone,2010-2039,Spring,21.729462388870523
MRI-CGCM3,rcp45,Recharge Zone,2010-2039,Spring,20.565760974377387
NorESM1-M,rcp45,Recharge Zone,2010-2039,Spring,21.05413165199892
bcc-csm1-1-m,rcp45,Recharge Zone,2040-2069,Spring,21.452458049719716
bcc-csm1-1,rcp45,Recharge Zone,2040-2069,Spring,21.845268097328702
BNU-ESM,rcp45,Recharge Zone,2040-2069,Spring,22.366341323144344
CanESM2,rcp45,Recharge Zone,2040-2069,Spring,22.75144797073494
CCSM4,rcp45,Recharge Zone,2040-2069,Spring,21.894975338608607
CNRM-CM5,rcp45,Recharge Zone,2040-2069,Spring,21.578904439095695
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2040-2069,Spring,22.451556986557623
GFDL-ESM2G,rcp45,Recharge Zone,2040-2069,Spring,22.300965496323894
GFDL-ESM2M,rcp45,Recharge Zone,2040-2069,Spring,21.74581064187117
HadGEM2-CC365,rcp45,Recharge Zone,2040-2069,Spring,22.322708021704532
HadGEM2-ES365,rcp45,Recharge Zone,2040-2069,Spring,22.905195943822594
inmcm4,rcp45,Recharge Zone,2040-2069,Spring,21.338768479379993
IPSL-CM5A-LR,rcp45,Recharge Zone,2040-2069,Spring,22.685701292565057
IPSL-CM5A-MR,rcp45,Recharge Zone,2040-2069,Spring,22.763630588732678
IPSL-CM5B-LR,rcp45,Recharge Zone,2040-2069,Spring,21.314432304175504
MIROC-ESM-CHEM,rcp45,Recharge Zone,2040-2069,Spring,23.071635162279836
MIROC-ESM,rcp45,Recharge Zone,2040-2069,Spring,23.209447916171943
MIROC5,rcp45,Recharge Zone,2040-2069,Spring,22.84525060991945
MRI-CGCM3,rcp45,Recharge Zone,2040-2069,Spring,21.315094399837655
NorESM1-M,rcp45,Recharge Zone,2040-2069,Spring,22.458470519566244
bcc-csm1-1-m,rcp45,Recharge Zone,2070-2099,Spring,22.170056853843125
bcc-csm1-1,rcp45,Recharge Zone,2070-2099,Spring,21.968938446034407
BNU-ESM,rcp45,Recharge Zone,2070-2099,Spring,23.39517283507035
CanESM2,rcp45,Recharge Zone,2070-2099,Spring,23.161831990644263
CCSM4,rcp45,Recharge Zone,2070-2099,Spring,22.511882712722507
CNRM-CM5,rcp45,Recharge Zone,2070-2099,Spring,22.365163197175537
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2070-2099,Spring,22.952368779478014
GFDL-ESM2G,rcp45,Recharge Zone,2070-2099,Spring,22.539572129559193
GFDL-ESM2M,rcp45,Recharge Zone,2070-2099,Spring,21.527173749195867
HadGEM2-CC365,rcp45,Recharge Zone,2070-2099,Spring,23.03648587706097
HadGEM2-ES365,rcp45,Recharge Zone,2070-2099,Spring,22.954502452675936
inmcm4,rcp45,Recharge Zone,2070-2099,Spring,21.669849832190682
IPSL-CM5A-LR,rcp45,Recharge Zone,2070-2099,Spring,22.997548443592812
IPSL-CM5A-MR,rcp45,Recharge Zone,2070-2099,Spring,23.533375381689822
IPSL-CM5B-LR,rcp45,Recharge Zone,2070-2099,Spring,21.84590214422697
MIROC-ESM-CHEM,rcp45,Recharge Zone,2070-2099,Spring,23.56498237210123
MIROC-ESM,rcp45,Recharge Zone,2070-2099,Spring,23.981616297500246
MIROC5,rcp45,Recharge Zone,2070-2099,Spring,23.482820194485832
MRI-CGCM3,rcp45,Recharge Zone,2070-2099,Spring,21.49306532320561
NorESM1-M,rcp45,Recharge Zone,2070-2099,Spring,22.897902666207166
bcc-csm1-1-m,rcp85,Recharge Zone,1971-2000,Spring,19.935052479303394
bcc-csm1-1,rcp85,Recharge Zone,1971-2000,Spring,20.023271264917465
BNU-ESM,rcp85,Recharge Zone,1971-2000,Spring,20.1057115034464
CanESM2,rcp85,Recharge Zone,1971-2000,Spring,20.049629882795724
CCSM4,rcp85,Recharge Zone,1971-2000,Spring,20.205375141387144
CNRM-CM5,rcp85,Recharge Zone,1971-2000,Spring,19.88912202123275
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1971-2000,Spring,19.82410763431366
GFDL-ESM2G,rcp85,Recharge Zone,1971-2000,Spring,19.946654154275056
GFDL-ESM2M,rcp85,Recharge Zone,1971-2000,Spring,19.938158829053727
HadGEM2-CC365,rcp85,Recharge Zone,1971-2000,Spring,19.978579864635627
HadGEM2-ES365,rcp85,Recharge Zone,1971-2000,Spring,19.808678864117912
inmcm4,rcp85,Recharge Zone,1971-2000,Spring,19.97428162604849
IPSL-CM5A-LR,rcp85,Recharge Zone,1971-2000,Spring,20.23868245656958
IPSL-CM5A-MR,rcp85,Recharge Zone,1971-2000,Spring,20.107715352452313
IPSL-CM5B-LR,rcp85,Recharge Zone,1971-2000,Spring,20.176881706470017
MIROC-ESM-CHEM,rcp85,Recharge Zone,1971-2000,Spring,19.773855073914806
MIROC-ESM,rcp85,Recharge Zone,1971-2000,Spring,20.08271693681036
MIROC5,rcp85,Recharge Zone,1971-2000,Spring,20.08345311614437
MRI-CGCM3,rcp85,Recharge Zone,1971-2000,Spring,20.17720585880283
NorESM1-M,rcp85,Recharge Zone,1971-2000,Spring,19.78798654598539
bcc-csm1-1-m,rcp85,Recharge Zone,1950-2005,Spring,19.970185579379887
bcc-csm1-1,rcp85,Recharge Zone,1950-2005,Spring,19.978046623099598
BNU-ESM,rcp85,Recharge Zone,1950-2005,Spring,19.989052865729274
CanESM2,rcp85,Recharge Zone,1950-2005,Spring,19.97656174312696
CCSM4,rcp85,Recharge Zone,1950-2005,Spring,19.96817462277958
CNRM-CM5,rcp85,Recharge Zone,1950-2005,Spring,19.98091286899841
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1950-2005,Spring,19.98434593149267
GFDL-ESM2G,rcp85,Recharge Zone,1950-2005,Spring,19.976612445647415
GFDL-ESM2M,rcp85,Recharge Zone,1950-2005,Spring,19.968959752289397
HadGEM2-CC365,rcp85,Recharge Zone,1950-2005,Spring,20.006975951616198
HadGEM2-ES365,rcp85,Recharge Zone,1950-2005,Spring,19.99810769894282
inmcm4,rcp85,Recharge Zone,1950-2005,Spring,19.97070212546775
IPSL-CM5A-LR,rcp85,Recharge Zone,1950-2005,Spring,19.977912237104015
IPSL-CM5A-MR,rcp85,Recharge Zone,1950-2005,Spring,19.97724398528893
IPSL-CM5B-LR,rcp85,Recharge Zone,1950-2005,Spring,19.979076403386653
MIROC-ESM-CHEM,rcp85,Recharge Zone,1950-2005,Spring,19.98233653181006
MIROC-ESM,rcp85,Recharge Zone,1950-2005,Spring,19.977069913338482
MIROC5,rcp85,Recharge Zone,1950-2005,Spring,19.973957999028475
MRI-CGCM3,rcp85,Recharge Zone,1950-2005,Spring,19.987803873583733
NorESM1-M,rcp85,Recharge Zone,1950-2005,Spring,19.96962792154741
bcc-csm1-1-m,rcp85,Recharge Zone,2010-2039,Spring,21.217824687810594
bcc-csm1-1,rcp85,Recharge Zone,2010-2039,Spring,20.953841919995128
BNU-ESM,rcp85,Recharge Zone,2010-2039,Spring,21.664032284845177
CanESM2,rcp85,Recharge Zone,2010-2039,Spring,21.664780358962137
CCSM4,rcp85,Recharge Zone,2010-2039,Spring,21.142890716239332
CNRM-CM5,rcp85,Recharge Zone,2010-2039,Spring,20.573518960107865
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2010-2039,Spring,21.71468466841592
GFDL-ESM2G,rcp85,Recharge Zone,2010-2039,Spring,21.60006639325126
GFDL-ESM2M,rcp85,Recharge Zone,2010-2039,Spring,20.615440987433775
HadGEM2-CC365,rcp85,Recharge Zone,2010-2039,Spring,21.816988608859507
HadGEM2-ES365,rcp85,Recharge Zone,2010-2039,Spring,21.355355271794895
inmcm4,rcp85,Recharge Zone,2010-2039,Spring,20.85348509801184
IPSL-CM5A-LR,rcp85,Recharge Zone,2010-2039,Spring,21.240515721664703
IPSL-CM5A-MR,rcp85,Recharge Zone,2010-2039,Spring,21.487977527249356
IPSL-CM5B-LR,rcp85,Recharge Zone,2010-2039,Spring,20.966888871372145
MIROC-ESM-CHEM,rcp85,Recharge Zone,2010-2039,Spring,21.45853779527619
MIROC-ESM,rcp85,Recharge Zone,2010-2039,Spring,21.38687335349082
MIROC5,rcp85,Recharge Zone,2010-2039,Spring,21.728133654026916
MRI-CGCM3,rcp85,Recharge Zone,2010-2039,Spring,20.580018706243333
NorESM1-M,rcp85,Recharge Zone,2010-2039,Spring,21.63808950495362
bcc-csm1-1-m,rcp85,Recharge Zone,2040-2069,Spring,22.426908512756214
bcc-csm1-1,rcp85,Recharge Zone,2040-2069,Spring,23.064793246230455
BNU-ESM,rcp85,Recharge Zone,2040-2069,Spring,23.43264123355699
CanESM2,rcp85,Recharge Zone,2040-2069,Spring,23.24503613889044
CCSM4,rcp85,Recharge Zone,2040-2069,Spring,22.705984589645592
CNRM-CM5,rcp85,Recharge Zone,2040-2069,Spring,22.387349476451327
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2040-2069,Spring,22.61725351293694
GFDL-ESM2G,rcp85,Recharge Zone,2040-2069,Spring,23.163792047615125
GFDL-ESM2M,rcp85,Recharge Zone,2040-2069,Spring,22.01874541891066
HadGEM2-CC365,rcp85,Recharge Zone,2040-2069,Spring,23.19540075372058
HadGEM2-ES365,rcp85,Recharge Zone,2040-2069,Spring,23.494466066243945
inmcm4,rcp85,Recharge Zone,2040-2069,Spring,22.11966964189569
IPSL-CM5A-LR,rcp85,Recharge Zone,2040-2069,Spring,23.34338556391878
IPSL-CM5A-MR,rcp85,Recharge Zone,2040-2069,Spring,23.965716211392976
IPSL-CM5B-LR,rcp85,Recharge Zone,2040-2069,Spring,22.28181683635391
MIROC-ESM-CHEM,rcp85,Recharge Zone,2040-2069,Spring,23.812500569031656
MIROC-ESM,rcp85,Recharge Zone,2040-2069,Spring,22.993454215877843
MIROC5,rcp85,Recharge Zone,2040-2069,Spring,23.512387363410244
MRI-CGCM3,rcp85,Recharge Zone,2040-2069,Spring,21.960257389667035
NorESM1-M,rcp85,Recharge Zone,2040-2069,Spring,23.032121948506596
bcc-csm1-1-m,rcp85,Recharge Zone,2070-2099,Spring,23.495497960824707
bcc-csm1-1,rcp85,Recharge Zone,2070-2099,Spring,24.455860579652622
BNU-ESM,rcp85,Recharge Zone,2070-2099,Spring,25.360592072150244
CanESM2,rcp85,Recharge Zone,2070-2099,Spring,25.22143806035906
CCSM4,rcp85,Recharge Zone,2070-2099,Spring,24.300573706883583
CNRM-CM5,rcp85,Recharge Zone,2070-2099,Spring,23.885853866764712
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2070-2099,Spring,25.372267198688867
GFDL-ESM2G,rcp85,Recharge Zone,2070-2099,Spring,24.43299115432408
GFDL-ESM2M,rcp85,Recharge Zone,2070-2099,Spring,23.923254122969727
HadGEM2-CC365,rcp85,Recharge Zone,2070-2099,Spring,24.99468171088751
HadGEM2-ES365,rcp85,Recharge Zone,2070-2099,Spring,24.914541020433195
inmcm4,rcp85,Recharge Zone,2070-2099,Spring,24.22214529499435
IPSL-CM5A-LR,rcp85,Recharge Zone,2070-2099,Spring,26.0657186229299
IPSL-CM5A-MR,rcp85,Recharge Zone,2070-2099,Spring,26.33334989730112
IPSL-CM5B-LR,rcp85,Recharge Zone,2070-2099,Spring,23.701881623055495
MIROC-ESM-CHEM,rcp85,Recharge Zone,2070-2099,Spring,26.453023609322088
MIROC-ESM,rcp85,Recharge Zone,2070-2099,Spring,25.96781249108234
MIROC5,rcp85,Recharge Zone,2070-2099,Spring,25.782663399166776
MRI-CGCM3,rcp85,Recharge Zone,2070-2099,Spring,23.36790112002882
NorESM1-M,rcp85,Recharge Zone,2070-2099,Spring,24.918156648279894
bcc-csm1-1-m,rcp45,Contributing Zone,1971-2000,Spring,18.862504504742056
bcc-csm1-1,rcp45,Contributing Zone,1971-2000,Spring,18.949151246167613
BNU-ESM,rcp45,Contributing Zone,1971-2000,Spring,19.029957969910974
CanESM2,rcp45,Contributing Zone,1971-2000,Spring,18.969215250351674
CCSM4,rcp45,Contributing Zone,1971-2000,Spring,19.133144934333504
CNRM-CM5,rcp45,Contributing Zone,1971-2000,Spring,18.81200013800394
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1971-2000,Spring,18.755857268208768
GFDL-ESM2G,rcp45,Contributing Zone,1971-2000,Spring,18.877094726669895
GFDL-ESM2M,rcp45,Contributing Zone,1971-2000,Spring,18.874482718580133
HadGEM2-CC365,rcp45,Contributing Zone,1971-2000,Spring,18.90595329002946
HadGEM2-ES365,rcp45,Contributing Zone,1971-2000,Spring,18.743379787077092
inmcm4,rcp45,Contributing Zone,1971-2000,Spring,18.92049071440222
IPSL-CM5A-LR,rcp45,Contributing Zone,1971-2000,Spring,19.175335399991408
IPSL-CM5A-MR,rcp45,Contributing Zone,1971-2000,Spring,19.013903839681507
IPSL-CM5B-LR,rcp45,Contributing Zone,1971-2000,Spring,19.092120188773148
MIROC-ESM-CHEM,rcp45,Contributing Zone,1971-2000,Spring,18.70131480683223
MIROC-ESM,rcp45,Contributing Zone,1971-2000,Spring,19.008216379257068
MIROC5,rcp45,Contributing Zone,1971-2000,Spring,19.00948343955833
MRI-CGCM3,rcp45,Contributing Zone,1971-2000,Spring,19.10328022821074
NorESM1-M,rcp45,Contributing Zone,1971-2000,Spring,18.71245415459486
bcc-csm1-1-m,rcp45,Contributing Zone,1950-2005,Spring,18.898296719099903
bcc-csm1-1,rcp45,Contributing Zone,1950-2005,Spring,18.905954788415677
BNU-ESM,rcp45,Contributing Zone,1950-2005,Spring,18.918042894257997
CanESM2,rcp45,Contributing Zone,1950-2005,Spring,18.90417590386719
CCSM4,rcp45,Contributing Zone,1950-2005,Spring,18.896296598204742
CNRM-CM5,rcp45,Contributing Zone,1950-2005,Spring,18.909215639105334
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1950-2005,Spring,18.912151230609417
GFDL-ESM2G,rcp45,Contributing Zone,1950-2005,Spring,18.904113953930935
GFDL-ESM2M,rcp45,Contributing Zone,1950-2005,Spring,18.897596314756335
HadGEM2-CC365,rcp45,Contributing Zone,1950-2005,Spring,18.935584076605004
HadGEM2-ES365,rcp45,Contributing Zone,1950-2005,Spring,18.925180110787824
inmcm4,rcp45,Contributing Zone,1950-2005,Spring,18.900673929242505
IPSL-CM5A-LR,rcp45,Contributing Zone,1950-2005,Spring,18.904854831514193
IPSL-CM5A-MR,rcp45,Contributing Zone,1950-2005,Spring,18.90542155960764
IPSL-CM5B-LR,rcp45,Contributing Zone,1950-2005,Spring,18.906839914528838
MIROC-ESM-CHEM,rcp45,Contributing Zone,1950-2005,Spring,18.9101289932532
MIROC-ESM,rcp45,Contributing Zone,1950-2005,Spring,18.905326583130126
MIROC5,rcp45,Contributing Zone,1950-2005,Spring,18.901486989230836
MRI-CGCM3,rcp45,Contributing Zone,1950-2005,Spring,18.9159251297007
NorESM1-M,rcp45,Contributing Zone,1950-2005,Spring,18.898173863351282
bcc-csm1-1-m,rcp45,Contributing Zone,2010-2039,Spring,20.20474901186617
bcc-csm1-1,rcp45,Contributing Zone,2010-2039,Spring,20.347720312149466
BNU-ESM,rcp45,Contributing Zone,2010-2039,Spring,19.879918432375103
CanESM2,rcp45,Contributing Zone,2010-2039,Spring,20.385044769813668
CCSM4,rcp45,Contributing Zone,2010-2039,Spring,20.426018551663425
CNRM-CM5,rcp45,Contributing Zone,2010-2039,Spring,19.770895509910236
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2010-2039,Spring,20.197775743999824
GFDL-ESM2G,rcp45,Contributing Zone,2010-2039,Spring,20.799695886627525
GFDL-ESM2M,rcp45,Contributing Zone,2010-2039,Spring,19.65644877116114
HadGEM2-CC365,rcp45,Contributing Zone,2010-2039,Spring,20.162464268552416
HadGEM2-ES365,rcp45,Contributing Zone,2010-2039,Spring,20.226667832088104
inmcm4,rcp45,Contributing Zone,2010-2039,Spring,19.68768429123651
IPSL-CM5A-LR,rcp45,Contributing Zone,2010-2039,Spring,20.597618723536456
IPSL-CM5A-MR,rcp45,Contributing Zone,2010-2039,Spring,20.200617034109328
IPSL-CM5B-LR,rcp45,Contributing Zone,2010-2039,Spring,19.917076491620797
MIROC-ESM-CHEM,rcp45,Contributing Zone,2010-2039,Spring,21.00118394325219
MIROC-ESM,rcp45,Contributing Zone,2010-2039,Spring,20.549142016683323
MIROC5,rcp45,Contributing Zone,2010-2039,Spring,20.65736167991726
MRI-CGCM3,rcp45,Contributing Zone,2010-2039,Spring,19.49860767084706
NorESM1-M,rcp45,Contributing Zone,2010-2039,Spring,19.980862217135357
bcc-csm1-1-m,rcp45,Contributing Zone,2040-2069,Spring,20.381845002776256
bcc-csm1-1,rcp45,Contributing Zone,2040-2069,Spring,20.77411800229221
BNU-ESM,rcp45,Contributing Zone,2040-2069,Spring,21.266533548856387
CanESM2,rcp45,Contributing Zone,2040-2069,Spring,21.673908929741728
CCSM4,rcp45,Contributing Zone,2040-2069,Spring,20.798523699625584
CNRM-CM5,rcp45,Contributing Zone,2040-2069,Spring,20.48739887060319
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2040-2069,Spring,21.39862761584577
GFDL-ESM2G,rcp45,Contributing Zone,2040-2069,Spring,21.216081911635843
GFDL-ESM2M,rcp45,Contributing Zone,2040-2069,Spring,20.683337993770106
HadGEM2-CC365,rcp45,Contributing Zone,2040-2069,Spring,21.22264550227249
HadGEM2-ES365,rcp45,Contributing Zone,2040-2069,Spring,21.830906987484795
inmcm4,rcp45,Contributing Zone,2040-2069,Spring,20.25793276762988
IPSL-CM5A-LR,rcp45,Contributing Zone,2040-2069,Spring,21.62589416693643
IPSL-CM5A-MR,rcp45,Contributing Zone,2040-2069,Spring,21.67463681521268
IPSL-CM5B-LR,rcp45,Contributing Zone,2040-2069,Spring,20.240625099582473
MIROC-ESM-CHEM,rcp45,Contributing Zone,2040-2069,Spring,21.99949588362342
