macamodel,rcp,zone,period,season,seasonal mean T (oC)
MIROC5,rcp45,Recharge Zone,2040-2069,Winter,13.185048096201522
MRI-CGCM3,rcp45,Recharge Zone,2040-2069,Winter,11.704458917831447
NorESM1-M,rcp45,Recharge Zone,2040-2069,Winter,12.715321483368008
bcc-csm1-1-m,rcp45,Recharge Zone,2070-2099,Winter,11.666042934237876
bcc-csm1-1,rcp45,Recharge Zone,2070-2099,Winter,11.77047444540822
BNU-ESM,rcp45,Recharge Zone,2070-2099,Winter,13.048924866555732
CanESM2,rcp45,Recharge Zone,2070-2099,Winter,13.345185489660446
CCSM4,rcp45,Recharge Zone,2070-2099,Winter,12.942051991496923
CNRM-CM5,rcp45,Recharge Zone,2070-2099,Winter,13.048439373770147
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2070-2099,Winter,12.989941561962901
GFDL-ESM2G,rcp45,Recharge Zone,2070-2099,Winter,11.802398328065216
GFDL-ESM2M,rcp45,Recharge Zone,2070-2099,Winter,12.031563326842637
HadGEM2-CC365,rcp45,Recharge Zone,2070-2099,Winter,13.587928275779918
HadGEM2-ES365,rcp45,Recharge Zone,2070-2099,Winter,13.81208768702395
inmcm4,rcp45,Recharge Zone,2070-2099,Winter,12.107429681196807
IPSL-CM5A-LR,rcp45,Recharge Zone,2070-2099,Winter,13.313093337491416
IPSL-CM5A-MR,rcp45,Recharge Zone,2070-2099,Winter,14.133331338643266
IPSL-CM5B-LR,rcp45,Recharge Zone,2070-2099,Winter,12.849256949191409
MIROC-ESM-CHEM,rcp45,Recharge Zone,2070-2099,Winter,13.27495459032774
MIROC-ESM,rcp45,Recharge Zone,2070-2099,Winter,13.250275127087702
MIROC5,rcp45,Recharge Zone,2070-2099,Winter,13.109822519052308
MRI-CGCM3,rcp45,Recharge Zone,2070-2099,Winter,11.881640430617328
NorESM1-M,rcp45,Recharge Zone,2070-2099,Winter,13.385759759048083
bcc-csm1-1-m,rcp85,Recharge Zone,1971-2000,Winter,10.647189260969792
bcc-csm1-1,rcp85,Recharge Zone,1971-2000,Winter,10.29406751885186
BNU-ESM,rcp85,Recharge Zone,1971-2000,Winter,10.82277198719751
CanESM2,rcp85,Recharge Zone,1971-2000,Winter,10.62694404348896
CCSM4,rcp85,Recharge Zone,1971-2000,Winter,10.819901761567955
CNRM-CM5,rcp85,Recharge Zone,1971-2000,Winter,10.51094631288759
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1971-2000,Winter,10.112011873429577
GFDL-ESM2G,rcp85,Recharge Zone,1971-2000,Winter,10.53943203102486
GFDL-ESM2M,rcp85,Recharge Zone,1971-2000,Winter,10.54714345527005
HadGEM2-CC365,rcp85,Recharge Zone,1971-2000,Winter,10.28346166565553
HadGEM2-ES365,rcp85,Recharge Zone,1971-2000,Winter,10.191442376296232
inmcm4,rcp85,Recharge Zone,1971-2000,Winter,10.569746599614502
IPSL-CM5A-LR,rcp85,Recharge Zone,1971-2000,Winter,10.755055554937831
IPSL-CM5A-MR,rcp85,Recharge Zone,1971-2000,Winter,10.600017398322821
IPSL-CM5B-LR,rcp85,Recharge Zone,1971-2000,Winter,10.543941015802075
MIROC-ESM-CHEM,rcp85,Recharge Zone,1971-2000,Winter,10.504550288651709
MIROC-ESM,rcp85,Recharge Zone,1971-2000,Winter,10.68910542374064
