macamodel,rcp,zone,period,annual mean T(oC)
IPSL-CM5B-LR,rcp45,Contributing Zone,2070-2099,20.643596846232207
MIROC-ESM-CHEM,rcp45,Contributing Zone,2070-2099,21.820544069122874
MIROC-ESM,rcp45,Contributing Zone,2070-2099,21.69029241264875
MIROC5,rcp45,Contributing Zone,2070-2099,21.51214253512039
MRI-CGCM3,rcp45,Contributing Zone,2070-2099,19.99254743736692
NorESM1-M,rcp45,Contributing Zone,2070-2099,21.258605107081486
bcc-csm1-1-m,rcp85,Contributing Zone,2070-2099,22.24415241057348
bcc-csm1-1,rcp85,Contributing Zone,2070-2099,22.698944000987463
BNU-ESM,rcp85,Contributing Zone,2070-2099,23.888551801307973
CanESM2,rcp85,Contributing Zone,2070-2099,23.841673469840803
CCSM4,rcp85,Contributing Zone,2070-2099,22.697545698688664
CNRM-CM5,rcp85,Contributing Zone,2070-2099,22.59694925407628
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2070-2099,23.69249931110581
GFDL-ESM2G,rcp85,Contributing Zone,2070-2099,22.648162038529037
GFDL-ESM2M,rcp85,Contributing Zone,2070-2099,22.454056694641675
HadGEM2-CC365,rcp85,Contributing Zone,2070-2099,24.018004285001098
HadGEM2-ES365,rcp85,Contributing Zone,2070-2099,23.763860830132952
inmcm4,rcp85,Contributing Zone,2070-2099,22.19970051186732
IPSL-CM5A-LR,rcp85,Contributing Zone,2070-2099,24.642631817133726
IPSL-CM5A-MR,rcp85,Contributing Zone,2070-2099,24.992090329579703
IPSL-CM5B-LR,rcp85,Contributing Zone,2070-2099,22.310815642128038
MIROC-ESM-CHEM,rcp85,Contributing Zone,2070-2099,24.424200984688692
MIROC-ESM,rcp85,Contributing Zone,2070-2099,23.88643294274555
MIROC5,rcp85,Contributing Zone,2070-2099,23.686973704216648
MRI-CGCM3,rcp85,Contributing Zone,2070-2099,22.137256616217886
NorESM1-M,rcp85,Contributing Zone,2070-2099,23.389511493002797
