macamodel,rcp,zone,period,annual mean T(oC)
CNRM-CM5,rcp45,Recharge Zone,1950-2005,19.57035177106395
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1950-2005,19.570175694352695
GFDL-ESM2G,rcp45,Recharge Zone,1950-2005,19.567516367946435
GFDL-ESM2M,rcp45,Recharge Zone,1950-2005,19.56868477495326
HadGEM2-CC365,rcp45,Recharge Zone,1950-2005,19.572605078981177
HadGEM2-ES365,rcp45,Recharge Zone,1950-2005,19.571624008370275
inmcm4,rcp45,Recharge Zone,1950-2005,19.57001898606618
IPSL-CM5A-LR,rcp45,Recharge Zone,1950-2005,19.569979167844387
IPSL-CM5A-MR,rcp45,Recharge Zone,1950-2005,19.566329091341938
IPSL-CM5B-LR,rcp45,Recharge Zone,1950-2005,19.569762493632886
MIROC-ESM-CHEM,rcp45,Recharge Zone,1950-2005,19.57051946121043
MIROC-ESM,rcp45,Recharge Zone,1950-2005,19.565879253706832
MIROC5,rcp45,Recharge Zone,1950-2005,19.5736632045018
MRI-CGCM3,rcp45,Recharge Zone,1950-2005,19.56885264948835
NorESM1-M,rcp45,Recharge Zone,1950-2005,19.5656445255813
bcc-csm1-1-m,rcp85,Recharge Zone,1950-2005,19.5708322397113
bcc-csm1-1,rcp85,Recharge Zone,1950-2005,19.57043287771778
BNU-ESM,rcp85,Recharge Zone,1950-2005,19.569961397191594
CanESM2,rcp85,Recharge Zone,1950-2005,19.571583605668746
CCSM4,rcp85,Recharge Zone,1950-2005,19.567446598128253
CNRM-CM5,rcp85,Recharge Zone,1950-2005,19.57035177106395
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1950-2005,19.570175694352695
GFDL-ESM2G,rcp85,Recharge Zone,1950-2005,19.567516367946435
GFDL-ESM2M,rcp85,Recharge Zone,1950-2005,19.56868477495326
HadGEM2-CC365,rcp85,Recharge Zone,1950-2005,19.572605078981177
HadGEM2-ES365,rcp85,Recharge Zone,1950-2005,19.571624008370275
inmcm4,rcp85,Recharge Zone,1950-2005,19.57001898606618
IPSL-CM5A-LR,rcp85,Recharge Zone,1950-2005,19.569979167844387
IPSL-CM5A-MR,rcp85,Recharge Zone,1950-2005,19.566329091341938
IPSL-CM5B-LR,rcp85,Recharge Zone,1950-2005,19.569762493632886
MIROC-ESM-CHEM,rcp85,Recharge Zone,1950-2005,19.57051946121043
MIROC-ESM,rcp85,Recharge Zone,1950-2005,19.565879253706832
MIROC5,rcp85,Recharge Zone,1950-2005,19.5736632045018
MRI-CGCM3,rcp85,Recharge Zone,1950-2005,19.56885264948835
NorESM1-M,rcp85,Recharge Zone,1950-2005,19.5656445255813
bcc-csm1-1-m,rcp45,Contributing Zone,1950-2005,18.511869793549533
bcc-csm1-1,rcp45,Contributing Zone,1950-2005,18.512029845163656
BNU-ESM,rcp45,Contributing Zone,1950-2005,18.51196889414651
CanESM2,rcp45,Contributing Zone,1950-2005,18.51375611001709
CCSM4,rcp45,Contributing Zone,1950-2005,18.50873126764309
CNRM-CM5,rcp45,Contributing Zone,1950-2005,18.51174016267208
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1950-2005,18.51169225683251
GFDL-ESM2G,rcp45,Contributing Zone,1950-2005,18.509678010168795
GFDL-ESM2M,rcp45,Contributing Zone,1950-2005,18.51015187332243
HadGEM2-CC365,rcp45,Contributing Zone,1950-2005,18.513950945431528
HadGEM2-ES365,rcp45,Contributing Zone,1950-2005,18.513122515995292
inmcm4,rcp45,Contributing Zone,1950-2005,18.51212096621257
IPSL-CM5A-LR,rcp45,Contributing Zone,1950-2005,18.511218449632217
IPSL-CM5A-MR,rcp45,Contributing Zone,1950-2005,18.507332213920034
IPSL-CM5B-LR,rcp45,Contributing Zone,1950-2005,18.511429792635994
MIROC-ESM-CHEM,rcp45,Contributing Zone,1950-2005,18.512275012369354
MIROC-ESM,rcp45,Contributing Zone,1950-2005,18.50726991188356
MIROC5,rcp45,Contributing Zone,1950-2005,18.51500744644782
MRI-CGCM3,rcp45,Contributing Zone,1950-2005,18.510010472986067
NorESM1-M,rcp45,Contributing Zone,1950-2005,18.507453317853788
bcc-csm1-1-m,rcp85,Contributing Zone,1950-2005,18.511869793549533
bcc-csm1-1,rcp85,Contributing Zone,1950-2005,18.512029845163656
BNU-ESM,rcp85,Contributing Zone,1950-2005,18.51196889414651
CanESM2,rcp85,Contributing Zone,1950-2005,18.51375611001709
CCSM4,rcp85,Contributing Zone,1950-2005,18.50873126764309
CNRM-CM5,rcp85,Contributing Zone,1950-2005,18.51174016267208
