,1971-2000,1950-2005,2010-2039,2040-2069,2070-2099,rcp,zone
HadGEM2-ES365,31.113739865528615,29.86686319086754,28.55396494140241,28.10590292192666,33.628348637229166,rcp45,Contributing Zone
inmcm4,30.619540499332157,29.835698428578734,30.38450191987885,31.86540257431015,33.56062960457057,rcp45,Contributing Zone
IPSL-CM5A-LR,29.404023453510167,29.858537631612986,25.828793669387647,24.702988939597624,25.83548114450916,rcp45,Contributing Zone
IPSL-CM5A-MR,28.98283477985226,29.852154097949484,31.139936441160675,22.659136364001004,23.63270752370728,rcp45,Contributing Zone
IPSL-CM5B-LR,29.235765975616374,29.839724790547667,32.65761623089091,33.67522126563153,34.19130905061232,rcp45,Contributing Zone
MIROC-ESM-CHEM,30.02381035435951,29.85943490828708,26.615242243537008,29.40797101692009,30.01095244640669,rcp45,Contributing Zone
MIROC-ESM,30.65667545065447,29.854280962880264,34.57527920698725,33.64716891920598,32.19944884104269,rcp45,Contributing Zone
MIROC5,27.921510562269333,29.860570887215946,28.380264308651952,29.994600611431725,32.72603264656401,rcp45,Contributing Zone
MRI-CGCM3,29.592408271548763,29.846278776421798,30.33026142962559,33.601572672420005,33.16555806260974,rcp45,Contributing Zone
NorESM1-M,29.991892921353205,29.851596161062936,31.045588775821376,27.460136254346317,29.889157920257915,rcp45,Contributing Zone
bcc-csm1-1-m,31.507027483155188,29.860744649222568,30.001639499688043,29.81373423639551,29.618625321941586,rcp85,Contributing Zone
bcc-csm1-1,30.193749304935245,29.837258187787373,31.854151233353345,30.199560246414734,29.486918553963218,rcp85,Contributing Zone
BNU-ESM,29.533705152337124,29.850620427735155,28.988858814194607,27.988357007372674,27.050172731681133,rcp85,Contributing Zone
CanESM2,29.789343822238,29.84211894533025,30.64409171489478,30.410655814944796,30.966816604607985,rcp85,Contributing Zone
CCSM4,30.711010351884376,29.843297241063247,32.27744227865888,29.20904666364798,29.573995125441204,rcp85,Contributing Zone
CNRM-CM5,29.366181342727614,29.844555637971155,32.8602425807151,28.875086765610657,29.011450905888346,rcp85,Contributing Zone
CSIRO-Mk3-6-0,30.651436257431605,29.85865524797115,27.748998712840425,31.173944157163177,30.72802511783061,rcp85,Contributing Zone
GFDL-ESM2G,29.538553199572732,29.839141602268164,28.46884995410947,27.601122476348095,27.320846295825405,rcp85,Contributing Zone
GFDL-ESM2M,31.00413122734088,29.858613781859347,32.57116970041973,30.34171579039275,26.216127549948244,rcp85,Contributing Zone
HadGEM2-CC365,30.248856897968352,29.85085428303028,29.405893389237434,32.68651000925013,28.34855707653087,rcp85,Contributing Zone
HadGEM2-ES365,31.113739865528615,29.86686319086754,29.453897150868386,27.935588153621662,31.678566672574057,rcp85,Contributing Zone
inmcm4,30.619540499332157,29.835698428578734,29.453403550494563,29.39942851419718,28.771194258522993,rcp85,Contributing Zone
IPSL-CM5A-LR,29.404023453510167,29.858537631612986,29.047786165903076,27.98144092107108,22.010154923180927,rcp85,Contributing Zone
IPSL-CM5A-MR,28.98283477985226,29.852154097949484,24.257885001975474,22.82062595349611,20.80737691584082,rcp85,Contributing Zone
IPSL-CM5B-LR,29.235765975616374,29.839724790547667,34.19438169942119,33.34544735115302,31.954001748629317,rcp85,Contributing Zone
MIROC-ESM-CHEM,30.02381035435951,29.85943490828708,31.02751745775199,29.249363965125728,27.81900166362898,rcp85,Contributing Zone
MIROC-ESM,30.65667545065447,29.854280962880264,33.46596056157039,31.702108122648497,29.95903244414972,rcp85,Contributing Zone
MIROC5,27.921510562269333,29.860570887215946,30.605510819119008,28.98167692141971,26.724393040331307,rcp85,Contributing Zone
MRI-CGCM3,29.592408271548763,29.846278776421798,32.12351400476717,31.04763233477699,27.894639523546918,rcp85,Contributing Zone
NorESM1-M,29.991892921353205,29.851596161062936,29.826535346342986,29.34228288830108,27.049899559074955,rcp85,Contributing Zone
