,Winter,Spring,Summer,Fall,period,rcp,zone
inmcm4,3.5340256779818264,7.703938507754938,9.347015390988451,8.233507601574912,2010-2039,rcp45,Recharge Zone
IPSL-CM5A-LR,3.6783285141067426,5.9904975166540435,7.229444796983755,7.4617532073952315,2010-2039,rcp45,Recharge Zone
IPSL-CM5A-MR,4.572074702212634,7.813314040077672,9.458407267004159,7.951791227523057,2010-2039,rcp45,Recharge Zone
IPSL-CM5B-LR,4.599543067523367,8.851508146270865,8.78391249055663,8.537143176693899,2010-2039,rcp45,Recharge Zone
MIROC-ESM-CHEM,3.8047318384702282,7.336675828293151,6.511696922226682,7.575317897482836,2010-2039,rcp45,Recharge Zone
MIROC-ESM,4.221916296111245,8.700012570903167,11.087083080544412,8.533421404041434,2010-2039,rcp45,Recharge Zone
MIROC5,4.539337022760959,7.569839781147574,8.957000206902004,6.090354341687812,2010-2039,rcp45,Recharge Zone
MRI-CGCM3,3.560451767171149,8.046641748335151,9.152058428361654,8.178559505576487,2010-2039,rcp45,Recharge Zone
NorESM1-M,4.61769647444983,8.274577299132442,9.43559146421489,7.1557978028349,2010-2039,rcp45,Recharge Zone
bcc-csm1-1-m,4.6862718965226,7.464022627070815,8.744626620736042,8.589698941549866,2040-2069,rcp45,Recharge Zone
bcc-csm1-1,4.643336705283905,7.505353283182683,7.389505785902675,8.584842267574553,2040-2069,rcp45,Recharge Zone
BNU-ESM,4.3540910821514505,8.889338068131478,7.034791442353535,7.23140264572859,2040-2069,rcp45,Recharge Zone
CanESM2,3.3740076553160003,7.161002027107925,8.416375394249705,8.146900173757391,2040-2069,rcp45,Recharge Zone
CCSM4,3.6014787478740597,7.613150851298443,8.018420816631085,8.979233427516188,2040-2069,rcp45,Recharge Zone
CNRM-CM5,4.424361327535614,7.973269205451328,9.671486102959387,7.608734582178012,2040-2069,rcp45,Recharge Zone
CSIRO-Mk3-6-0,4.5864344725710495,8.275376380527335,11.168071371823324,9.19663566351384,2040-2069,rcp45,Recharge Zone
GFDL-ESM2G,3.4166145856923285,6.6602903744295485,7.891684168213522,7.0606034114124565,2040-2069,rcp45,Recharge Zone
GFDL-ESM2M,4.148413724818492,7.4936484092908815,10.514318583387496,8.328293690831249,2040-2069,rcp45,Recharge Zone
HadGEM2-CC365,4.1260324065642715,8.732610682915587,7.662385899046943,8.612820667848434,2040-2069,rcp45,Recharge Zone
HadGEM2-ES365,4.802203231446302,7.7080871030889275,6.9920154597653195,7.294834071137742,2040-2069,rcp45,Recharge Zone
inmcm4,4.341187219362652,7.136135799749895,10.709757426781604,8.38287563730831,2040-2069,rcp45,Recharge Zone
IPSL-CM5A-LR,3.234483447905535,6.179708820733336,6.9423007421582295,6.966429795651606,2040-2069,rcp45,Recharge Zone
IPSL-CM5A-MR,3.0231012033092886,6.49738259834445,6.2539358356856765,5.857558239919366,2040-2069,rcp45,Recharge Zone
IPSL-CM5B-LR,4.471725136898989,8.624019606113706,9.739961640887437,9.269739016941108,2040-2069,rcp45,Recharge Zone
MIROC-ESM-CHEM,4.750967850655179,7.671461897149406,7.541747000607001,8.13890494736783,2040-2069,rcp45,Recharge Zone
MIROC-ESM,3.8765176710033162,9.08365671778689,10.131959472103466,8.306320036570636,2040-2069,rcp45,Recharge Zone
MIROC5,4.07355054760291,7.51140946750356,10.419892950218863,6.154703856316402,2040-2069,rcp45,Recharge Zone
MRI-CGCM3,3.575001739049933,8.487427059836778,11.023737647064387,8.838978459836625,2040-2069,rcp45,Recharge Zone
NorESM1-M,4.406528592760914,7.52305908021739,7.341778197403161,6.889587461081525,2040-2069,rcp45,Recharge Zone
bcc-csm1-1-m,4.766815600982593,7.004894535694712,6.474834895936177,8.233813528133878,2070-2099,rcp45,Recharge Zone
bcc-csm1-1,5.132712856267726,7.419876938131207,6.383141243169396,7.193010687222525,2070-2099,rcp45,Recharge Zone
BNU-ESM,4.437908705885586,7.052948596662398,6.503668082095633,6.677520536471904,2070-2099,rcp45,Recharge Zone
CanESM2,3.8425765645376364,8.285821788408583,9.974661067286206,7.277455437968035,2070-2099,rcp45,Recharge Zone
CCSM4,4.3002626614894615,8.550355276748208,7.58789755940742,7.991573572040709,2070-2099,rcp45,Recharge Zone
CNRM-CM5,3.8184222021982372,8.35453650485733,9.719813746052397,7.72054533315273,2070-2099,rcp45,Recharge Zone
CSIRO-Mk3-6-0,4.266651100685618,8.195967006726315,10.943648849865662,8.179408894223462,2070-2099,rcp45,Recharge Zone
GFDL-ESM2G,3.9445980805333916,7.37164123665289,6.2566735093576415,7.712235136787915,2070-2099,rcp45,Recharge Zone
GFDL-ESM2M,3.935164013568078,7.2792125730470465,10.178836106552042,9.043086340610374,2070-2099,rcp45,Recharge Zone
HadGEM2-CC365,4.177771238060329,8.468854518201516,7.640899288618214,6.555926488352371,2070-2099,rcp45,Recharge Zone
HadGEM2-ES365,3.6725701650607667,8.665590079652,7.971549906013251,11.363272820517262,2070-2099,rcp45,Recharge Zone
inmcm4,4.219267135358403,7.903927425676214,11.524673354077368,8.552218014145835,2070-2099,rcp45,Recharge Zone
IPSL-CM5A-LR,3.035407418060839,6.401525275925694,8.000210828203917,7.222975322181269,2070-2099,rcp45,Recharge Zone
IPSL-CM5A-MR,2.761582431955303,4.67166608245268,8.492732696000832,6.268630445472502,2070-2099,rcp45,Recharge Zone
IPSL-CM5B-LR,4.836396383302479,8.497443840389185,10.024450144528306,8.90909589221479,2070-2099,rcp45,Recharge Zone
MIROC-ESM-CHEM,5.137862384228496,7.261375794507122,8.45198400361362,7.69633995708971,2070-2099,rcp45,Recharge Zone
MIROC-ESM,3.640203910040768,7.660335020555727,10.107853485142169,8.880449854681196,2070-2099,rcp45,Recharge Zone
MIROC5,4.154067878758401,7.804289126734945,12.279517276083135,7.010911090117686,2070-2099,rcp45,Recharge Zone
MRI-CGCM3,3.7299810798842334,7.904287773944022,9.261496042674644,10.594850793779433,2070-2099,rcp45,Recharge Zone
NorESM1-M,3.787161679088007,6.983050520354632,10.21917355008033,7.6209887938706595,2070-2099,rcp45,Recharge Zone
bcc-csm1-1-m,4.260912192856145,8.170916295464904,9.38717836408401,8.13648580163993,1971-2000,rcp85,Recharge Zone
bcc-csm1-1,4.591352387384674,7.5167067854472265,8.607602968497465,7.769879584234964,1971-2000,rcp85,Recharge Zone
BNU-ESM,4.392601472290547,8.320013616057835,7.811846894583212,7.808897052831474,1971-2000,rcp85,Recharge Zone
CanESM2,4.165369171192949,7.898117785478642,8.370216223725143,7.631999207797299,1971-2000,rcp85,Recharge Zone
CCSM4,4.129583036574684,8.428500675261654,8.659124637679943,7.757987117226856,1971-2000,rcp85,Recharge Zone
CNRM-CM5,4.379625868267773,7.877652451818513,8.372958693173299,7.356673222366184,1971-2000,rcp85,Recharge Zone
