,1971-2000,1950-2005,2010-2039,2040-2069,2070-2099,rcp,zone
HadGEM2-ES365,18.26932354817052,18.513122515995292,19.955277596798435,21.312079395269393,21.6087310944142,rcp45,Contributing Zone
inmcm4,18.555161799621246,18.51212096621257,19.065201855623688,19.592178675573013,19.942989559365977,rcp45,Contributing Zone
IPSL-CM5A-LR,18.768412725025616,18.511218449632217,20.37204306443854,21.228889916672735,21.700953433481814,rcp45,Contributing Zone
IPSL-CM5A-MR,18.592026497342793,18.507332213920034,20.04776527793875,21.538704161470644,22.047044221412833,rcp45,Contributing Zone
IPSL-CM5B-LR,18.574590325030446,18.511429792635994,19.572530392961312,20.10927602950268,20.643596846232207,rcp45,Contributing Zone
MIROC-ESM-CHEM,18.48890331636637,18.512275012369354,20.156864000974466,21.22088534323648,21.820544069122874,rcp45,Contributing Zone
MIROC-ESM,18.516221971569493,18.50726991188356,19.623456248060698,20.932678589451886,21.69029241264875,rcp45,Contributing Zone
MIROC5,18.652138891919368,18.51500744644782,20.055030148625512,21.14630495647214,21.51214253512039,rcp45,Contributing Zone
MRI-CGCM3,18.50085796613364,18.510010472986067,19.08400676190744,19.75830858471765,19.99254743736692,rcp45,Contributing Zone
NorESM1-M,18.393814485684086,18.507453317853788,19.511984213717103,20.99677506666708,21.258605107081486,rcp45,Contributing Zone
bcc-csm1-1-m,18.533034295026184,18.511869793549533,19.664416759209818,21.00864813370684,22.24415241057348,rcp85,Contributing Zone
bcc-csm1-1,18.511940190367657,18.512029845163656,19.664777304704035,21.183823247012647,22.698944000987463,rcp85,Contributing Zone
BNU-ESM,18.67510366610791,18.51196889414651,20.211168405366287,22.13854251804445,23.888551801307973,rcp85,Contributing Zone
CanESM2,18.570954333390826,18.51375611001709,20.230818097890115,21.991110216085033,23.841673469840803,rcp85,Contributing Zone
CCSM4,18.70361271999419,18.50873126764309,19.909488882653534,21.235606148343443,22.697545698688664,rcp85,Contributing Zone
CNRM-CM5,18.52069479510077,18.51174016267208,19.263621638970513,20.95898045735606,22.59694925407628,rcp85,Contributing Zone
