macamodel,rcp,zone,period,annual mean P (in)
CNRM-CM5,rcp45,Recharge Zone,1950-2005,28.27039039801726
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1950-2005,28.282551474761583
GFDL-ESM2G,rcp45,Recharge Zone,1950-2005,28.263353770237256
GFDL-ESM2M,rcp45,Recharge Zone,1950-2005,28.283335442830612
HadGEM2-CC365,rcp45,Recharge Zone,1950-2005,28.273239043523464
HadGEM2-ES365,rcp45,Recharge Zone,1950-2005,28.286105773684888
inmcm4,rcp45,Recharge Zone,1950-2005,28.260549739985436
IPSL-CM5A-LR,rcp45,Recharge Zone,1950-2005,28.285057972764488
IPSL-CM5A-MR,rcp45,Recharge Zone,1950-2005,28.27616819488474
IPSL-CM5B-LR,rcp45,Recharge Zone,1950-2005,28.264910353698724
MIROC-ESM-CHEM,rcp45,Recharge Zone,1950-2005,28.284613613787595
MIROC-ESM,rcp45,Recharge Zone,1950-2005,28.27803457735584
MIROC5,rcp45,Recharge Zone,1950-2005,28.28311552808634
MRI-CGCM3,rcp45,Recharge Zone,1950-2005,28.268665814144182
NorESM1-M,rcp45,Recharge Zone,1950-2005,28.276180108613914
bcc-csm1-1-m,rcp85,Recharge Zone,1950-2005,28.283991419230926
bcc-csm1-1,rcp85,Recharge Zone,1950-2005,28.262388141774046
BNU-ESM,rcp85,Recharge Zone,1950-2005,28.275812180840315
CanESM2,rcp85,Recharge Zone,1950-2005,28.267860729466314
CCSM4,rcp85,Recharge Zone,1950-2005,28.267217795935593
CNRM-CM5,rcp85,Recharge Zone,1950-2005,28.27039039801726
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1950-2005,28.282551474761583
GFDL-ESM2G,rcp85,Recharge Zone,1950-2005,28.263353770237256
GFDL-ESM2M,rcp85,Recharge Zone,1950-2005,28.283335442830612
HadGEM2-CC365,rcp85,Recharge Zone,1950-2005,28.273239043523464
HadGEM2-ES365,rcp85,Recharge Zone,1950-2005,28.286105773684888
inmcm4,rcp85,Recharge Zone,1950-2005,28.260549739985436
IPSL-CM5A-LR,rcp85,Recharge Zone,1950-2005,28.285057972764488
IPSL-CM5A-MR,rcp85,Recharge Zone,1950-2005,28.27616819488474
IPSL-CM5B-LR,rcp85,Recharge Zone,1950-2005,28.264910353698724
MIROC-ESM-CHEM,rcp85,Recharge Zone,1950-2005,28.284613613787595
MIROC-ESM,rcp85,Recharge Zone,1950-2005,28.27803457735584
MIROC5,rcp85,Recharge Zone,1950-2005,28.28311552808634
MRI-CGCM3,rcp85,Recharge Zone,1950-2005,28.268665814144182
NorESM1-M,rcp85,Recharge Zone,1950-2005,28.276180108613914
bcc-csm1-1-m,rcp45,Contributing Zone,1950-2005,29.860744649222568
bcc-csm1-1,rcp45,Contributing Zone,1950-2005,29.837258187787373
BNU-ESM,rcp45,Contributing Zone,1950-2005,29.850620427735155
CanESM2,rcp45,Contributing Zone,1950-2005,29.84211894533025
CCSM4,rcp45,Contributing Zone,1950-2005,29.843297241063247
CNRM-CM5,rcp45,Contributing Zone,1950-2005,29.844555637971155
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1950-2005,29.85865524797115
GFDL-ESM2G,rcp45,Contributing Zone,1950-2005,29.839141602268164
GFDL-ESM2M,rcp45,Contributing Zone,1950-2005,29.858613781859347
HadGEM2-CC365,rcp45,Contributing Zone,1950-2005,29.85085428303028
HadGEM2-ES365,rcp45,Contributing Zone,1950-2005,29.86686319086754
inmcm4,rcp45,Contributing Zone,1950-2005,29.835698428578734
IPSL-CM5A-LR,rcp45,Contributing Zone,1950-2005,29.858537631612986
IPSL-CM5A-MR,rcp45,Contributing Zone,1950-2005,29.852154097949484
IPSL-CM5B-LR,rcp45,Contributing Zone,1950-2005,29.839724790547667
MIROC-ESM-CHEM,rcp45,Contributing Zone,1950-2005,29.85943490828708
MIROC-ESM,rcp45,Contributing Zone,1950-2005,29.854280962880264
MIROC5,rcp45,Contributing Zone,1950-2005,29.860570887215946
MRI-CGCM3,rcp45,Contributing Zone,1950-2005,29.846278776421798
NorESM1-M,rcp45,Contributing Zone,1950-2005,29.851596161062936
bcc-csm1-1-m,rcp85,Contributing Zone,1950-2005,29.860744649222568
bcc-csm1-1,rcp85,Contributing Zone,1950-2005,29.837258187787373
BNU-ESM,rcp85,Contributing Zone,1950-2005,29.850620427735155
CanESM2,rcp85,Contributing Zone,1950-2005,29.84211894533025
CCSM4,rcp85,Contributing Zone,1950-2005,29.843297241063247
CNRM-CM5,rcp85,Contributing Zone,1950-2005,29.844555637971155
CSIRO-Mk3-6-0,rcp85,Contributing Zone,1950-2005,29.85865524797115
GFDL-ESM2G,rcp85,Contributing Zone,1950-2005,29.839141602268164
GFDL-ESM2M,rcp85,Contributing Zone,1950-2005,29.858613781859347
HadGEM2-CC365,rcp85,Contributing Zone,1950-2005,29.85085428303028
HadGEM2-ES365,rcp85,Contributing Zone,1950-2005,29.86686319086754
inmcm4,rcp85,Contributing Zone,1950-2005,29.835698428578734
IPSL-CM5A-LR,rcp85,Contributing Zone,1950-2005,29.858537631612986
IPSL-CM5A-MR,rcp85,Contributing Zone,1950-2005,29.852154097949484
IPSL-CM5B-LR,rcp85,Contributing Zone,1950-2005,29.839724790547667
MIROC-ESM-CHEM,rcp85,Contributing Zone,1950-2005,29.85943490828708
MIROC-ESM,rcp85,Contributing Zone,1950-2005,29.854280962880264
MIROC5,rcp85,Contributing Zone,1950-2005,29.860570887215946
MRI-CGCM3,rcp85,Contributing Zone,1950-2005,29.846278776421798
NorESM1-M,rcp85,Contributing Zone,1950-2005,29.851596161062936
