macamodel,rcp,zone,period,annual mean P (in)
IPSL-CM5A-LR,rcp45,Contributing Zone,2070-2099,25.83548114450916
IPSL-CM5A-MR,rcp45,Contributing Zone,2070-2099,23.63270752370728
IPSL-CM5B-LR,rcp45,Contributing Zone,2070-2099,34.19130905061232
MIROC-ESM-CHEM,rcp45,Contributing Zone,2070-2099,30.01095244640669
MIROC-ESM,rcp45,Contributing Zone,2070-2099,32.19944884104269
MIROC5,rcp45,Contributing Zone,2070-2099,32.72603264656401
MRI-CGCM3,rcp45,Contributing Zone,2070-2099,33.16555806260974
NorESM1-M,rcp45,Contributing Zone,2070-2099,29.889157920257915
bcc-csm1-1-m,rcp85,Contributing Zone,2070-2099,29.618625321941586
bcc-csm1-1,rcp85,Contributing Zone,2070-2099,29.486918553963218
BNU-ESM,rcp85,Contributing Zone,2070-2099,27.050172731681133
CanESM2,rcp85,Contributing Zone,2070-2099,30.966816604607985
CCSM4,rcp85,Contributing Zone,2070-2099,29.573995125441204
CNRM-CM5,rcp85,Contributing Zone,2070-2099,29.011450905888346
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2070-2099,30.72802511783061
GFDL-ESM2G,rcp85,Contributing Zone,2070-2099,27.320846295825405
GFDL-ESM2M,rcp85,Contributing Zone,2070-2099,26.216127549948244
HadGEM2-CC365,rcp85,Contributing Zone,2070-2099,28.34855707653087
HadGEM2-ES365,rcp85,Contributing Zone,2070-2099,31.678566672574057
inmcm4,rcp85,Contributing Zone,2070-2099,28.771194258522993
IPSL-CM5A-LR,rcp85,Contributing Zone,2070-2099,22.010154923180927
IPSL-CM5A-MR,rcp85,Contributing Zone,2070-2099,20.80737691584082
IPSL-CM5B-LR,rcp85,Contributing Zone,2070-2099,31.954001748629317
MIROC-ESM-CHEM,rcp85,Contributing Zone,2070-2099,27.81900166362898
MIROC-ESM,rcp85,Contributing Zone,2070-2099,29.95903244414972
MIROC5,rcp85,Contributing Zone,2070-2099,26.724393040331307
MRI-CGCM3,rcp85,Contributing Zone,2070-2099,27.894639523546918
NorESM1-M,rcp85,Contributing Zone,2070-2099,27.049899559074955
