,Percent_winter,Percent_spring,Percent_summer,Percent_fall,period,rcp,zone
IPSL-CM5A-MR,116.08772472415441,106.86434112778858,107.96066920872904,110.38942098218652,2010-2039,rcp85,Recharge Zone
IPSL-CM5B-LR,110.42403188904237,103.91540762539535,103.43685237235603,105.62273905364734,2010-2039,rcp85,Recharge Zone
MIROC-ESM-CHEM,115.03605616315669,108.51974850156445,104.12412457165834,107.25909934627957,2010-2039,rcp85,Recharge Zone
MIROC-ESM,107.6815932231324,106.4939242074862,103.8686959521051,106.11256430358192,2010-2039,rcp85,Recharge Zone
MIROC5,110.4913051721111,108.18923184360385,105.87853249852692,105.3764164323932,2010-2039,rcp85,Recharge Zone
MRI-CGCM3,104.73982101347245,101.99637576312266,104.4523506949749,101.7673437866504,2010-2039,rcp85,Recharge Zone
NorESM1-M,116.38166097421679,109.34962713194072,106.52175819811094,109.23590375079522,2010-2039,rcp85,Recharge Zone
bcc-csm1-1-m,109.76860182332658,106.80942021654012,104.54195966683275,105.76477764445397,2010-2039,rcp85,Contributing Zone
bcc-csm1-1,115.53920647012352,104.89622585381657,103.64664033069866,106.69183751802666,2010-2039,rcp85,Contributing Zone
BNU-ESM,106.82411134195489,108.20638930626099,106.9136610571048,110.82606877626353,2010-2039,rcp85,Contributing Zone
CanESM2,112.63413093630537,108.6516016904007,107.29425983806263,109.69187965529032,2010-2039,rcp85,Contributing Zone
CCSM4,114.96469947103462,104.8886804739815,104.63858411198012,106.21885780674303,2010-2039,rcp85,Contributing Zone
CNRM-CM5,110.812930141844,103.56110276921964,103.0880299188232,102.3856727143897,2010-2039,rcp85,Contributing Zone
CSIRO-Mk3-6-0,117.04899672036515,110.18285447980949,106.78717912185287,108.81549793103211,2010-2039,rcp85,Contributing Zone
GFDL-ESM2G,116.59476937799143,108.59651259782032,105.42524050179924,108.47846470738287,2010-2039,rcp85,Contributing Zone
GFDL-ESM2M,111.38733640142735,103.63359753353518,104.16739298509054,105.85197370872417,2010-2039,rcp85,Contributing Zone
HadGEM2-CC365,124.61643929760167,109.84355425873358,108.04238589710158,113.95516858410338,2010-2039,rcp85,Contributing Zone
HadGEM2-ES365,123.4423933118272,108.20852625371582,109.22505173959023,114.08679814287473,2010-2039,rcp85,Contributing Zone
inmcm4,109.0532753112197,104.49162804773711,101.4141045345925,103.12700541086386,2010-2039,rcp85,Contributing Zone
IPSL-CM5A-LR,111.63842339713348,105.24531114875188,105.8725108389042,106.80002977025696,2010-2039,rcp85,Contributing Zone
IPSL-CM5A-MR,118.05879971246442,107.13034794005225,108.07798424565067,110.74884162800089,2010-2039,rcp85,Contributing Zone
IPSL-CM5B-LR,111.78015401771589,104.16964999632572,103.53569911617002,105.93672049703942,2010-2039,rcp85,Contributing Zone
MIROC-ESM-CHEM,117.02468786875262,109.14669720534005,104.60033575037764,107.92612949397767,2010-2039,rcp85,Contributing Zone
MIROC-ESM,108.70769729301672,107.01759820228398,104.24045632382976,106.65615962803847,2010-2039,rcp85,Contributing Zone
MIROC5,111.49043164771788,108.69144492191668,106.09437968366468,105.77064287083122,2010-2039,rcp85,Contributing Zone
MRI-CGCM3,105.02162398860264,102.01814638591414,104.68269856123659,101.8545882378938,2010-2039,rcp85,Contributing Zone
NorESM1-M,118.27803425957045,109.90940913933454,106.78410602378847,109.90863263190766,2010-2039,rcp85,Contributing Zone
bcc-csm1-1-m,115.91501130038367,107.61174605379993,105.40664502083695,108.7075773099372,2040-2069,rcp45,Recharge Zone
bcc-csm1-1,115.03810866181607,109.09939643880038,108.30835500759358,108.87222844413654,2040-2069,rcp45,Recharge Zone
BNU-ESM,117.70610613383205,111.24371957346766,110.3975236562189,116.01576573850325,2040-2069,rcp45,Recharge Zone
CanESM2,121.44399563327168,113.47565069147538,110.78894952063956,114.20191858749509,2040-2069,rcp45,Recharge Zone
CCSM4,113.33881195432056,108.36213228113056,106.65413828372192,109.59282926218268,2040-2069,rcp45,Recharge Zone
CNRM-CM5,117.7832843392074,108.49601312747244,105.0254411918443,108.23391880918697,2040-2069,rcp45,Recharge Zone
CSIRO-Mk3-6-0,124.18926637818689,113.25380895176384,109.87355393327411,111.30348119357956,2040-2069,rcp45,Recharge Zone
GFDL-ESM2G,114.62981793285887,111.80303886476244,107.96223844323578,111.19076897860099,2040-2069,rcp45,Recharge Zone
GFDL-ESM2M,111.35880101167864,109.06629257152545,107.59532780241724,108.628473990938,2040-2069,rcp45,Recharge Zone
HadGEM2-CC365,131.45779661138084,111.73320712959323,109.55685980015912,115.903820492948,2040-2069,rcp45,Recharge Zone
HadGEM2-ES365,129.31812372787078,115.63212317664362,110.23670056877528,116.60750854719262,2040-2069,rcp45,Recharge Zone
inmcm4,110.68276262372447,106.83121865845766,101.9833510182626,105.4008610735782,2040-2069,rcp45,Recharge Zone
IPSL-CM5A-LR,117.42103642921471,112.09080107485534,110.16814394603381,112.92404789185468,2040-2069,rcp45,Recharge Zone
IPSL-CM5A-MR,126.82479990002061,113.20843860044225,111.87691537496131,114.61186244920741,2040-2069,rcp45,Recharge Zone
IPSL-CM5B-LR,113.16975077813949,105.63789099948342,105.50411228332173,110.28787663312882,2040-2069,rcp45,Recharge Zone
MIROC-ESM-CHEM,121.84443603390258,116.67747677950457,110.1624243437213,112.13741423228383,2040-2069,rcp45,Recharge Zone
MIROC-ESM,116.0958375420396,115.56926281040431,108.59734878488032,111.97928648949025,2040-2069,rcp45,Recharge Zone
MIROC5,123.9183239011056,113.75160674712343,108.30849474866343,111.39328443506132,2040-2069,rcp45,Recharge Zone
MRI-CGCM3,111.93063891450609,105.63947530196998,106.14407589210298,105.07960571639899,2040-2069,rcp45,Recharge Zone
NorESM1-M,121.73741238572515,113.49548104540553,110.0336657932244,113.34899254947305,2040-2069,rcp45,Recharge Zone
bcc-csm1-1-m,117.76431554392101,108.05481847679472,105.83838753603148,109.24538169710306,2040-2069,rcp45,Contributing Zone
bcc-csm1-1,117.17786547053414,109.63086278861005,108.6747652740824,109.54001259138242,2040-2069,rcp45,Contributing Zone
BNU-ESM,119.49807717418001,111.75291917345143,110.63825322123628,116.82083099677827,2040-2069,rcp45,Contributing Zone
CanESM2,123.95347794200286,114.25833195361052,111.17584657581703,115.22044329800558,2040-2069,rcp45,Contributing Zone
CCSM4,114.7824699335374,108.70415590854401,106.8651699863737,110.09445909857527,2040-2069,rcp45,Contributing Zone
CNRM-CM5,119.95515338084617,108.90601063315228,105.24838348507437,108.8519336785825,2040-2069,rcp45,Contributing Zone
CSIRO-Mk3-6-0,127.4748003296678,114.0903735288949,110.24200167615771,112.07763339177703,2040-2069,rcp45,Contributing Zone
GFDL-ESM2G,116.73740399590957,112.39060998968971,108.39461687934022,111.81833752348196,2040-2069,rcp45,Contributing Zone
GFDL-ESM2M,112.7857467309071,109.58360185102889,107.88753375148347,109.15826402045288,2040-2069,rcp45,Contributing Zone
HadGEM2-CC365,135.46080004911624,112.253770950893,109.76071574796362,116.70857371315479,2040-2069,rcp45,Contributing Zone
HadGEM2-ES365,133.06900277748008,116.47262785837826,110.54308184959649,117.52367806047381,2040-2069,rcp45,Contributing Zone
inmcm4,112.04354186056827,107.06874929099806,102.25087715461711,105.62733094643283,2040-2069,rcp45,Contributing Zone
IPSL-CM5A-LR,119.63031879754445,112.77974395663568,110.56267321905626,113.74939633033341,2040-2069,rcp45,Contributing Zone
IPSL-CM5A-MR,130.24661974395636,113.99361750204233,112.32664229082738,115.49232933633226,2040-2069,rcp45,Contributing Zone
IPSL-CM5B-LR,114.93207720054035,106.01559648406513,105.67348000200265,110.91483386092611,2040-2069,rcp45,Contributing Zone
MIROC-ESM-CHEM,124.52311563719883,117.63609195855179,110.6876215563753,112.90804893901051,2040-2069,rcp45,Contributing Zone
MIROC-ESM,118.05752066576692,116.52487052448397,108.95830814653526,112.79206635270623,2040-2069,rcp45,Contributing Zone
MIROC5,126.46018477295455,114.57413973472666,108.65476546760473,112.27056793703649,2040-2069,rcp45,Contributing Zone
MRI-CGCM3,113.16410050759482,105.87754358180344,106.27725242911394,105.28873309292857,2040-2069,rcp45,Contributing Zone
NorESM1-M,124.35742739380828,114.33609067505657,110.36612756296637,114.28218235667424,2040-2069,rcp45,Contributing Zone
bcc-csm1-1-m,123.07355104271448,112.49987195187907,108.78361788124282,112.25908923417207,2040-2069,rcp85,Recharge Zone
bcc-csm1-1,123.07203807818108,115.1899354559612,110.32770003954909,111.59314033320322,2040-2069,rcp85,Recharge Zone
BNU-ESM,124.36650687901735,116.54718724846076,113.06863541035864,121.54716764846467,2040-2069,rcp85,Recharge Zone
CanESM2,126.20686527635803,115.93748251101954,113.99795727404123,118.93387836059705,2040-2069,rcp85,Recharge Zone
CCSM4,120.54013623263538,112.37596149915767,109.48164719392237,113.9157662263099,2040-2069,rcp85,Recharge Zone
CNRM-CM5,126.43780637168899,112.56077293181457,107.18734666210348,112.14031733473315,2040-2069,rcp85,Recharge Zone
CSIRO-Mk3-6-0,129.4425624250016,114.08964241996249,112.43594740687615,112.99713027295306,2040-2069,rcp85,Recharge Zone
GFDL-ESM2G,119.45500964743594,116.1287094490008,110.25623393505953,114.96045650654384,2040-2069,rcp85,Recharge Zone
GFDL-ESM2M,117.39350570493909,110.43519919615206,109.4843323796548,112.51672714622225,2040-2069,rcp85,Recharge Zone
HadGEM2-CC365,137.09621368668286,116.10134909928756,111.53782917320652,118.95349359715229,2040-2069,rcp85,Recharge Zone
HadGEM2-ES365,134.7732952267076,118.60693096904402,114.85936081215853,120.13849286159095,2040-2069,rcp85,Recharge Zone
inmcm4,115.49210146909388,110.74075181281813,104.87532608475053,110.52371898224678,2040-2069,rcp85,Recharge Zone
IPSL-CM5A-LR,122.93923454674653,115.34044083161845,112.78552086008263,114.70808730317242,2040-2069,rcp85,Recharge Zone
IPSL-CM5A-MR,131.44223368821233,119.18666935212083,114.21527542807712,119.34794444147884,2040-2069,rcp85,Recharge Zone
IPSL-CM5B-LR,122.2238903545309,110.43241052064509,108.3648940299972,113.49010337968409,2040-2069,rcp85,Recharge Zone
MIROC-ESM-CHEM,128.94213544326988,120.4241685802812,111.81235362510544,115.13521406174694,2040-2069,rcp85,Recharge Zone
MIROC-ESM,123.05926452696426,114.4937424962271,109.9206640740388,116.4715689726333,2040-2069,rcp85,Recharge Zone
MIROC5,125.82086238420796,117.07342969078101,110.92314867254093,113.68587863253173,2040-2069,rcp85,Recharge Zone
MRI-CGCM3,123.07145955777379,108.83695960353353,108.78738205463672,109.84058243248533,2040-2069,rcp85,Recharge Zone
NorESM1-M,129.30912173315565,116.39446941699777,112.06838470009184,116.24007471658659,2040-2069,rcp85,Recharge Zone
bcc-csm1-1-m,125.72131082726806,113.16178304507814,109.29951360684929,113.05662206379432,2040-2069,rcp85,Contributing Zone
bcc-csm1-1,126.09382241176374,116.0620527251385,110.73708899865586,112.3907292690094,2040-2069,rcp85,Contributing Zone
BNU-ESM,127.0044776291773,117.33462954534544,113.38584930587179,122.75503733419642,2040-2069,rcp85,Contributing Zone
CanESM2,129.12543762961286,116.87898542350916,114.48253808766924,120.13726415002314,2040-2069,rcp85,Contributing Zone
CCSM4,122.62318667321223,112.94695854989469,109.82901181325455,114.73591114644543,2040-2069,rcp85,Contributing Zone
CNRM-CM5,129.50269632783525,113.23642047907165,107.52823817032733,112.96807123133962,2040-2069,rcp85,Contributing Zone
CSIRO-Mk3-6-0,133.21999233466687,114.86544126738627,112.87933652305718,113.90418326233448,2040-2069,rcp85,Contributing Zone
GFDL-ESM2G,121.74078107515965,116.9118675188167,110.72192096384094,115.78431733682595,2040-2069,rcp85,Contributing Zone
GFDL-ESM2M,119.33434164291144,110.95338800230768,109.89933827083873,113.40901966051369,2040-2069,rcp85,Contributing Zone
HadGEM2-CC365,141.80379240102388,116.90630016370022,111.85500101160018,119.99919149115476,2040-2069,rcp85,Contributing Zone
HadGEM2-ES365,139.66150100307965,119.93482423639239,115.42924782490107,121.54176983839533,2040-2069,rcp85,Contributing Zone
inmcm4,117.41706723868906,111.17937503620621,105.32643198533091,111.29503487973919,2040-2069,rcp85,Contributing Zone
IPSL-CM5A-LR,125.64801488141333,116.26912823730132,113.12157266846032,115.625398671793,2040-2069,rcp85,Contributing Zone
IPSL-CM5A-MR,135.0884558960407,120.24714251313154,114.52065101153129,120.2571696858868,2040-2069,rcp85,Contributing Zone
IPSL-CM5B-LR,125.23641411185595,111.09702781627536,108.53017077970553,114.2467791461123,2040-2069,rcp85,Contributing Zone
MIROC-ESM-CHEM,132.61046712749308,121.82675477368272,112.61862170856982,116.25377129091643,2040-2069,rcp85,Contributing Zone
MIROC-ESM,126.17113647207039,115.48972577448336,110.52906121290414,117.69786211311131,2040-2069,rcp85,Contributing Zone
MIROC5,128.6784208234682,118.2149118450893,111.29623788898861,114.74254668306507,2040-2069,rcp85,Contributing Zone
MRI-CGCM3,124.99951861105225,109.12880369805802,109.20925151824032,110.46336027361741,2040-2069,rcp85,Contributing Zone
NorESM1-M,132.7051689896507,117.36353434667161,112.49086398927722,117.28650144427957,2040-2069,rcp85,Contributing Zone
bcc-csm1-1-m,109.56922665968729,111.2114296004995,107.24207422305663,110.30543509512012,2070-2099,rcp45,Recharge Zone
bcc-csm1-1,114.3423085563852,109.71702952716784,108.56156228972004,110.80811631851621,2070-2099,rcp45,Recharge Zone
BNU-ESM,120.56915623826858,116.3608302598995,112.87321617283239,118.62986441522307,2070-2099,rcp45,Recharge Zone
CanESM2,125.57876878853926,115.52249156738334,111.8882126405585,117.92472587805764,2070-2099,rcp45,Recharge Zone
CCSM4,119.613396467857,111.41531674218159,108.32600194600366,111.67133315254247,2070-2099,rcp45,Recharge Zone
CNRM-CM5,124.14143299135026,112.44922311452197,106.05005845456613,109.68754442515977,2070-2099,rcp45,Recharge Zone
CSIRO-Mk3-6-0,128.46050543211288,115.78008555476984,112.61130484270303,115.25768686840243,2070-2099,rcp45,Recharge Zone
GFDL-ESM2G,111.9832481800022,112.99926270957283,109.6473028934079,111.39012814844145,2070-2099,rcp45,Recharge Zone
GFDL-ESM2M,114.07414128638662,107.969717433621,108.22806173229446,110.0986750633636,2070-2099,rcp45,Recharge Zone
HadGEM2-CC365,132.13379616282882,115.30592280904904,110.99108567498274,121.74924794239206,2070-2099,rcp45,Recharge Zone
HadGEM2-ES365,135.5263286298787,115.88103684318125,111.34597043826963,117.71623943479428,2070-2099,rcp45,Recharge Zone
inmcm4,114.54796543219292,108.48875688190456,102.79343505915135,107.40587953203395,2070-2099,rcp45,Recharge Zone
IPSL-CM5A-LR,123.78451482176813,113.63164817148305,111.90181442254837,114.8868127351588,2070-2099,rcp45,Recharge Zone
IPSL-CM5A-MR,133.33309566906465,117.03654527225899,113.03187357879125,116.11508528705075,2070-2099,rcp45,Recharge Zone
IPSL-CM5B-LR,121.86389254202376,108.27194440666099,106.64579953062399,112.10546616629028,2070-2099,rcp45,Recharge Zone
MIROC-ESM-CHEM,126.37337368615349,119.17242380919231,111.73261088530018,116.84946795941254,2070-2099,rcp45,Recharge Zone
MIROC-ESM,123.96056172912908,119.41420263482104,111.75623283174103,114.47382287855883,2070-2099,rcp45,Recharge Zone
MIROC5,123.21132402011847,116.92620815097197,110.05125849662933,113.20536067252274,2070-2099,rcp45,Recharge Zone
MRI-CGCM3,113.62503931944484,106.52151479055611,107.20815494169604,106.47299384313409,2070-2099,rcp45,Recharge Zone
NorESM1-M,128.15623718322615,115.71618271012379,109.52141924926131,113.60439907065789,2070-2099,rcp45,Recharge Zone
bcc-csm1-1-m,110.60754013251426,112.034614814153,107.7741579035879,111.00631773487515,2070-2099,rcp45,Contributing Zone
bcc-csm1-1,116.34735756293857,110.30470271953365,108.90393553549525,111.54142927833533,2070-2099,rcp45,Contributing Zone
BNU-ESM,122.91840063214143,117.18342153301433,113.21565901154862,119.54339425804781,2070-2099,rcp45,Contributing Zone
CanESM2,128.55028512969326,116.60820386651125,112.30666699508673,119.13749110703557,2070-2099,rcp45,Contributing Zone
CCSM4,121.73996135698826,112.03158460502247,108.5859021324473,112.44172378630755,2070-2099,rcp45,Contributing Zone
CNRM-CM5,127.2502355088184,113.22738548281977,106.39813004591436,110.31272455022996,2070-2099,rcp45,Contributing Zone
CSIRO-Mk3-6-0,132.29667505525927,116.71455814320015,113.06651138895253,116.19960668799565,2070-2099,rcp45,Contributing Zone
GFDL-ESM2G,113.4645402611619,113.71716727845696,110.11474259247704,112.09039436362744,2070-2099,rcp45,Contributing Zone
GFDL-ESM2M,115.7714651598491,108.49264138285537,108.45155439667182,110.81897543720962,2070-2099,rcp45,Contributing Zone
HadGEM2-CC365,135.96313376155862,116.01316690737995,111.33881917233323,122.94584632149443,2070-2099,rcp45,Contributing Zone
HadGEM2-ES365,140.08683809631216,116.70356504236314,111.60519200149164,118.71281539308688,2070-2099,rcp45,Contributing Zone
inmcm4,116.68256445224985,108.76465876211742,103.06948446251825,107.86260306587816,2070-2099,rcp45,Contributing Zone
IPSL-CM5A-LR,126.58245673949932,114.54167035363237,112.31995238139586,115.84777412110465,2070-2099,rcp45,Contributing Zone
IPSL-CM5A-MR,137.51503259915464,117.91675612537647,113.49420212584256,116.98330242958635,2070-2099,rcp45,Contributing Zone
IPSL-CM5B-LR,124.65299396670729,108.82864542691107,106.84805468981875,112.86031834081487,2070-2099,rcp45,Contributing Zone
MIROC-ESM-CHEM,129.68999623704215,120.31561489830622,112.33540231013579,118.01053874134844,2070-2099,rcp45,Contributing Zone
MIROC-ESM,126.88309036824334,120.56786544772746,112.31753190884572,115.54974021115684,2070-2099,rcp45,Contributing Zone
MIROC5,125.62753664529771,118.01160188177707,110.54136893106288,114.26633585674068,2070-2099,rcp45,Contributing Zone
MRI-CGCM3,114.84829388335936,106.85118389596691,107.37868466829077,106.87908201001683,2070-2099,rcp45,Contributing Zone
NorESM1-M,131.71406223517292,116.74150255953147,109.85978731994244,114.52175414811536,2070-2099,rcp45,Contributing Zone
bcc-csm1-1-m,130.975709330811,117.8602262783997,115.00765267308904,118.20674807197949,2070-2099,rcp85,Recharge Zone
bcc-csm1-1,133.89811084137742,122.13718855470657,117.2828493041389,119.43578640204262,2070-2099,rcp85,Recharge Zone
BNU-ESM,138.85128378842288,126.13625768878202,118.6278690636284,131.26877080187066,2070-2099,rcp85,Recharge Zone
CanESM2,143.34185753992352,125.79503067037254,120.84642357393082,127.28493422217251,2070-2099,rcp85,Recharge Zone
CCSM4,137.42406675705433,120.26786702469161,113.84836010240443,120.21186461782484,2070-2099,rcp85,Recharge Zone
CNRM-CM5,143.51973886177717,120.09506423292706,112.8929848588869,120.33388851814419,2070-2099,rcp85,Recharge Zone
CSIRO-Mk3-6-0,151.26627128953177,127.98693220759085,120.25510231173212,125.3162892476162,2070-2099,rcp85,Recharge Zone
GFDL-ESM2G,125.34648022140709,122.49167687648253,116.39858144713801,122.48474395298632,2070-2099,rcp85,Recharge Zone
GFDL-ESM2M,128.97905833939,119.98727830429834,116.52169884913835,121.37477046005098,2070-2099,rcp85,Recharge Zone
HadGEM2-CC365,157.0180713785033,125.107399425977,120.16048418209304,131.19354067859695,2070-2099,rcp85,Recharge Zone
HadGEM2-ES365,153.85414401465957,125.77588435523688,120.14413517560199,129.55477184952392,2070-2099,rcp85,Recharge Zone
inmcm4,133.9251589141016,121.26666554759203,110.44085747495515,118.57885691300787,2070-2099,rcp85,Recharge Zone
IPSL-CM5A-LR,150.7820296558325,128.79157859640625,122.63417084454935,128.42867586283947,2070-2099,rcp85,Recharge Zone
IPSL-CM5A-MR,158.69050298592649,130.9614217016929,123.98539262047505,132.76535498783733,2070-2099,rcp85,Recharge Zone
IPSL-CM5B-LR,134.7344055948487,117.47048908680044,113.62630622940925,119.60266843482772,2070-2099,rcp85,Recharge Zone
MIROC-ESM-CHEM,150.58988288103882,133.77777631342246,121.24977417451639,127.48008191052833,2070-2099,rcp85,Recharge Zone
MIROC-ESM,140.09153489603142,129.30427975850702,120.83898637869315,126.37118971358056,2070-2099,rcp85,Recharge Zone
MIROC5,142.03072356799845,128.37764128540732,117.84043308771903,124.09653977445083,2070-2099,rcp85,Recharge Zone
MRI-CGCM3,134.44363396461324,115.81336525757835,116.10168934106736,116.73848838156059,2070-2099,rcp85,Recharge Zone
NorESM1-M,149.40294355078512,125.92568016140741,115.6359309178782,126.90465000420043,2070-2099,rcp85,Recharge Zone
bcc-csm1-1-m,134.58747047885888,119.03997695917347,115.94775811002145,119.4234524018675,2070-2099,rcp85,Contributing Zone
bcc-csm1-1,138.54885045149507,123.36316915948764,117.95503313507183,120.75382242370924,2070-2099,rcp85,Contributing Zone
BNU-ESM,143.26024158209276,127.39852319996332,119.14336664784318,133.0348670785304,2070-2099,rcp85,Contributing Zone
CanESM2,148.2306773389212,127.40761059294452,121.57779216586265,129.0004092798783,2070-2099,rcp85,Contributing Zone
CCSM4,141.27233077859253,121.13753309256097,114.27552110093598,121.40548192018557,2070-2099,rcp85,Contributing Zone
CNRM-CM5,148.76532712716337,121.16297367185933,113.4686974076657,121.6612356111511,2070-2099,rcp85,Contributing Zone
CSIRO-Mk3-6-0,157.79859077703412,129.72053330615068,120.97279599354765,127.11068004300539,2070-2099,rcp85,Contributing Zone
