,2010-2039,2040-2069,2070-2099,rcp,zone
GFDL-ESM2G,96.37862004196354,93.44101009235395,92.49216138392518,rcp85,Contributing Zone
GFDL-ESM2M,105.0542892545138,97.86346073660022,84.55688488000479,rcp85,Contributing Zone
HadGEM2-CC365,97.2132384652607,108.05866191738802,93.7177797235534,rcp85,Contributing Zone
HadGEM2-ES365,94.66524203829577,89.78537544620897,101.81536134674451,rcp85,Contributing Zone
inmcm4,96.19152694710415,96.01525050592582,93.96350758154102,rcp85,Contributing Zone
IPSL-CM5A-LR,98.78847434545709,95.16194600140932,74.85422856494634,rcp85,Contributing Zone
IPSL-CM5A-MR,83.69742016691416,78.73841922930231,71.79206959529473,rcp85,Contributing Zone
IPSL-CM5B-LR,116.96078607258136,114.05703335758078,109.29763829440982,rcp85,Contributing Zone
MIROC-ESM-CHEM,103.3430370480832,97.42055928247184,92.65646610237668,rcp85,Contributing Zone
MIROC-ESM,109.1636978557502,103.41013060492085,97.72433574009783,rcp85,Contributing Zone
MIROC5,109.61266135964935,103.79695201943333,95.71256175675644,rcp85,Contributing Zone
MRI-CGCM3,108.55322659106427,104.91755875315944,94.2628233146062,rcp85,Contributing Zone
NorESM1-M,99.4486590911623,97.83404790502695,90.19070463477264,rcp85,Contributing Zone
