macamodel,rcp,zone,period,season,seasonal mean P (in)
MIROC-ESM,rcp45,Recharge Zone,2040-2069,Winter,3.8765176710033162
MIROC5,rcp45,Recharge Zone,2040-2069,Winter,4.07355054760291
MRI-CGCM3,rcp45,Recharge Zone,2040-2069,Winter,3.575001739049933
NorESM1-M,rcp45,Recharge Zone,2040-2069,Winter,4.406528592760914
bcc-csm1-1-m,rcp45,Recharge Zone,2070-2099,Winter,4.766815600982593
bcc-csm1-1,rcp45,Recharge Zone,2070-2099,Winter,5.132712856267726
BNU-ESM,rcp45,Recharge Zone,2070-2099,Winter,4.437908705885586
CanESM2,rcp45,Recharge Zone,2070-2099,Winter,3.8425765645376364
CCSM4,rcp45,Recharge Zone,2070-2099,Winter,4.3002626614894615
CNRM-CM5,rcp45,Recharge Zone,2070-2099,Winter,3.8184222021982372
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2070-2099,Winter,4.266651100685618
GFDL-ESM2G,rcp45,Recharge Zone,2070-2099,Winter,3.9445980805333916
GFDL-ESM2M,rcp45,Recharge Zone,2070-2099,Winter,3.935164013568078
HadGEM2-CC365,rcp45,Recharge Zone,2070-2099,Winter,4.177771238060329
HadGEM2-ES365,rcp45,Recharge Zone,2070-2099,Winter,3.6725701650607667
inmcm4,rcp45,Recharge Zone,2070-2099,Winter,4.219267135358403
IPSL-CM5A-LR,rcp45,Recharge Zone,2070-2099,Winter,3.035407418060839
IPSL-CM5A-MR,rcp45,Recharge Zone,2070-2099,Winter,2.761582431955303
IPSL-CM5B-LR,rcp45,Recharge Zone,2070-2099,Winter,4.836396383302479
MIROC-ESM-CHEM,rcp45,Recharge Zone,2070-2099,Winter,5.137862384228496
MIROC-ESM,rcp45,Recharge Zone,2070-2099,Winter,3.640203910040768
MIROC5,rcp45,Recharge Zone,2070-2099,Winter,4.154067878758401
MRI-CGCM3,rcp45,Recharge Zone,2070-2099,Winter,3.7299810798842334
NorESM1-M,rcp45,Recharge Zone,2070-2099,Winter,3.787161679088007
bcc-csm1-1-m,rcp85,Recharge Zone,1971-2000,Winter,4.260912192856145
bcc-csm1-1,rcp85,Recharge Zone,1971-2000,Winter,4.591352387384674
BNU-ESM,rcp85,Recharge Zone,1971-2000,Winter,4.392601472290547
CanESM2,rcp85,Recharge Zone,1971-2000,Winter,4.165369171192949
CCSM4,rcp85,Recharge Zone,1971-2000,Winter,4.129583036574684
CNRM-CM5,rcp85,Recharge Zone,1971-2000,Winter,4.379625868267773
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1971-2000,Winter,4.406933104915214
GFDL-ESM2G,rcp85,Recharge Zone,1971-2000,Winter,3.949632842384
GFDL-ESM2M,rcp85,Recharge Zone,1971-2000,Winter,4.2157249141307105
HadGEM2-CC365,rcp85,Recharge Zone,1971-2000,Winter,4.3657107745684876
HadGEM2-ES365,rcp85,Recharge Zone,1971-2000,Winter,4.621997975455592
inmcm4,rcp85,Recharge Zone,1971-2000,Winter,4.660228420328099
IPSL-CM5A-LR,rcp85,Recharge Zone,1971-2000,Winter,4.284597304772889
IPSL-CM5A-MR,rcp85,Recharge Zone,1971-2000,Winter,4.15812952776406
IPSL-CM5B-LR,rcp85,Recharge Zone,1971-2000,Winter,4.354613730531129
MIROC-ESM-CHEM,rcp85,Recharge Zone,1971-2000,Winter,4.1289978192571875
MIROC-ESM,rcp85,Recharge Zone,1971-2000,Winter,4.160831118174058
MIROC5,rcp85,Recharge Zone,1971-2000,Winter,3.9041132031126495
MRI-CGCM3,rcp85,Recharge Zone,1971-2000,Winter,4.329600877860052
NorESM1-M,rcp85,Recharge Zone,1971-2000,Winter,4.4687916581882545
bcc-csm1-1-m,rcp85,Recharge Zone,1950-2005,Winter,4.2055423567666805
bcc-csm1-1,rcp85,Recharge Zone,1950-2005,Winter,4.242220334827696
BNU-ESM,rcp85,Recharge Zone,1950-2005,Winter,4.2542614312252605
CanESM2,rcp85,Recharge Zone,1950-2005,Winter,4.202306782934552
CCSM4,rcp85,Recharge Zone,1950-2005,Winter,4.177659596630358
CNRM-CM5,rcp85,Recharge Zone,1950-2005,Winter,4.222261733238214
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1950-2005,Winter,4.213740436703436
GFDL-ESM2G,rcp85,Recharge Zone,1950-2005,Winter,4.143720735513298
GFDL-ESM2M,rcp85,Recharge Zone,1950-2005,Winter,4.194166348231332
HadGEM2-CC365,rcp85,Recharge Zone,1950-2005,Winter,4.192430320548181
HadGEM2-ES365,rcp85,Recharge Zone,1950-2005,Winter,4.111936046730283
inmcm4,rcp85,Recharge Zone,1950-2005,Winter,4.2594088000573365
IPSL-CM5A-LR,rcp85,Recharge Zone,1950-2005,Winter,4.265686888641361
IPSL-CM5A-MR,rcp85,Recharge Zone,1950-2005,Winter,4.253778330298662
IPSL-CM5B-LR,rcp85,Recharge Zone,1950-2005,Winter,4.183190052835811
MIROC-ESM-CHEM,rcp85,Recharge Zone,1950-2005,Winter,4.198408206147672
MIROC-ESM,rcp85,Recharge Zone,1950-2005,Winter,4.216515820853347
