macamodel,rcp,zone,period,season,seasonal mean P (in)
MIROC-ESM-CHEM,rcp85,Contributing Zone,1950-2005,Winter,4.336655811899807
MIROC-ESM,rcp85,Contributing Zone,1950-2005,Winter,4.355743617281173
MIROC5,rcp85,Contributing Zone,1950-2005,Winter,4.359079380744494
MRI-CGCM3,rcp85,Contributing Zone,1950-2005,Winter,4.325862603535763
NorESM1-M,rcp85,Contributing Zone,1950-2005,Winter,4.334697471163977
bcc-csm1-1-m,rcp85,Contributing Zone,2010-2039,Winter,4.322295992540888
bcc-csm1-1,rcp85,Contributing Zone,2010-2039,Winter,4.600153774294377
BNU-ESM,rcp85,Contributing Zone,2010-2039,Winter,4.936117573217233
CanESM2,rcp85,Contributing Zone,2010-2039,Winter,3.6728843134832267
CCSM4,rcp85,Contributing Zone,2010-2039,Winter,4.3187473847806865
CNRM-CM5,rcp85,Contributing Zone,2010-2039,Winter,4.595183349629533
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2010-2039,Winter,4.584471169041944
GFDL-ESM2G,rcp85,Contributing Zone,2010-2039,Winter,3.652893713552421
GFDL-ESM2M,rcp85,Contributing Zone,2010-2039,Winter,4.001350048307479
HadGEM2-CC365,rcp85,Contributing Zone,2010-2039,Winter,4.537576679085032
HadGEM2-ES365,rcp85,Contributing Zone,2010-2039,Winter,4.7149858176839
inmcm4,rcp85,Contributing Zone,2010-2039,Winter,4.521873245883346
IPSL-CM5A-LR,rcp85,Contributing Zone,2010-2039,Winter,3.503201435132115
IPSL-CM5A-MR,rcp85,Contributing Zone,2010-2039,Winter,3.3325575438162414
IPSL-CM5B-LR,rcp85,Contributing Zone,2010-2039,Winter,5.374692357863463
MIROC-ESM-CHEM,rcp85,Contributing Zone,2010-2039,Winter,4.15326403452071
MIROC-ESM,rcp85,Contributing Zone,2010-2039,Winter,4.447176771893296
MIROC5,rcp85,Contributing Zone,2010-2039,Winter,4.697765174419878
MRI-CGCM3,rcp85,Contributing Zone,2010-2039,Winter,4.218221582400754
NorESM1-M,rcp85,Contributing Zone,2010-2039,Winter,4.393487201308146
bcc-csm1-1-m,rcp85,Contributing Zone,2040-2069,Winter,4.214504508314225
bcc-csm1-1,rcp85,Contributing Zone,2040-2069,Winter,4.429895549544556
BNU-ESM,rcp85,Contributing Zone,2040-2069,Winter,4.288067450432463
CanESM2,rcp85,Contributing Zone,2040-2069,Winter,4.0126913845994245
CCSM4,rcp85,Contributing Zone,2040-2069,Winter,4.374128299613984
CNRM-CM5,rcp85,Contributing Zone,2040-2069,Winter,4.283515848466793
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2040-2069,Winter,3.8859161005102107
GFDL-ESM2G,rcp85,Contributing Zone,2040-2069,Winter,3.8284942168140157
GFDL-ESM2M,rcp85,Contributing Zone,2040-2069,Winter,4.580958611270228
HadGEM2-CC365,rcp85,Contributing Zone,2040-2069,Winter,4.358408834288072
HadGEM2-ES365,rcp85,Contributing Zone,2040-2069,Winter,4.064851321259701
inmcm4,rcp85,Contributing Zone,2040-2069,Winter,4.077496307401651
IPSL-CM5A-LR,rcp85,Contributing Zone,2040-2069,Winter,3.1577577341034813
IPSL-CM5A-MR,rcp85,Contributing Zone,2040-2069,Winter,3.179284132901879
IPSL-CM5B-LR,rcp85,Contributing Zone,2040-2069,Winter,4.342317249632769
MIROC-ESM-CHEM,rcp85,Contributing Zone,2040-2069,Winter,4.241999647618935
MIROC-ESM,rcp85,Contributing Zone,2040-2069,Winter,4.935411215876496
MIROC5,rcp85,Contributing Zone,2040-2069,Winter,4.031648633255712
MRI-CGCM3,rcp85,Contributing Zone,2040-2069,Winter,3.360032904242125
NorESM1-M,rcp85,Contributing Zone,2040-2069,Winter,3.7885916021596264
bcc-csm1-1-m,rcp85,Contributing Zone,2070-2099,Winter,4.543120087793087
bcc-csm1-1,rcp85,Contributing Zone,2070-2099,Winter,4.45364270602023
BNU-ESM,rcp85,Contributing Zone,2070-2099,Winter,4.724958479159456
CanESM2,rcp85,Contributing Zone,2070-2099,Winter,3.6586309924532396
CCSM4,rcp85,Contributing Zone,2070-2099,Winter,3.262855355876596
CNRM-CM5,rcp85,Contributing Zone,2070-2099,Winter,4.080992129556461
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2070-2099,Winter,3.2036718306013574
GFDL-ESM2G,rcp85,Contributing Zone,2070-2099,Winter,4.25636373870752
GFDL-ESM2M,rcp85,Contributing Zone,2070-2099,Winter,3.25623574816991
HadGEM2-CC365,rcp85,Contributing Zone,2070-2099,Winter,4.323477987478485
HadGEM2-ES365,rcp85,Contributing Zone,2070-2099,Winter,4.2726309329182435
inmcm4,rcp85,Contributing Zone,2070-2099,Winter,3.2206411612879124
IPSL-CM5A-LR,rcp85,Contributing Zone,2070-2099,Winter,2.4149102810438396
IPSL-CM5A-MR,rcp85,Contributing Zone,2070-2099,Winter,1.7951655838722103
IPSL-CM5B-LR,rcp85,Contributing Zone,2070-2099,Winter,3.6756327941327878
MIROC-ESM-CHEM,rcp85,Contributing Zone,2070-2099,Winter,3.6986734296772483
MIROC-ESM,rcp85,Contributing Zone,2070-2099,Winter,5.545920486276492
MIROC5,rcp85,Contributing Zone,2070-2099,Winter,3.6241848693529257
MRI-CGCM3,rcp85,Contributing Zone,2070-2099,Winter,3.200646516255483
NorESM1-M,rcp85,Contributing Zone,2070-2099,Winter,3.397098334887909
bcc-csm1-1-m,rcp45,Recharge Zone,1971-2000,Spring,8.170916295464904
bcc-csm1-1,rcp45,Recharge Zone,1971-2000,Spring,7.5167067854472265
BNU-ESM,rcp45,Recharge Zone,1971-2000,Spring,8.320013616057835
CanESM2,rcp45,Recharge Zone,1971-2000,Spring,7.898117785478642
CCSM4,rcp45,Recharge Zone,1971-2000,Spring,8.428500675261654
CNRM-CM5,rcp45,Recharge Zone,1971-2000,Spring,7.877652451818513
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1971-2000,Spring,7.563131774591342
GFDL-ESM2G,rcp45,Recharge Zone,1971-2000,Spring,7.433008553338905
GFDL-ESM2M,rcp45,Recharge Zone,1971-2000,Spring,7.983909565132112
HadGEM2-CC365,rcp45,Recharge Zone,1971-2000,Spring,7.938287345318791
HadGEM2-ES365,rcp45,Recharge Zone,1971-2000,Spring,7.426477216335305
inmcm4,rcp45,Recharge Zone,1971-2000,Spring,7.71128735018586
IPSL-CM5A-LR,rcp45,Recharge Zone,1971-2000,Spring,7.483365519619074
IPSL-CM5A-MR,rcp45,Recharge Zone,1971-2000,Spring,6.83460908840345
IPSL-CM5B-LR,rcp45,Recharge Zone,1971-2000,Spring,7.269997853887103
MIROC-ESM-CHEM,rcp45,Recharge Zone,1971-2000,Spring,7.8396157308964325
MIROC-ESM,rcp45,Recharge Zone,1971-2000,Spring,7.975479422647604
MIROC5,rcp45,Recharge Zone,1971-2000,Spring,7.167128933108762
MRI-CGCM3,rcp45,Recharge Zone,1971-2000,Spring,7.5084455057233335
NorESM1-M,rcp45,Recharge Zone,1971-2000,Spring,7.940586799071428
bcc-csm1-1-m,rcp45,Recharge Zone,1950-2005,Spring,7.688495709919941
bcc-csm1-1,rcp45,Recharge Zone,1950-2005,Spring,7.679718005941427
BNU-ESM,rcp45,Recharge Zone,1950-2005,Spring,7.789722761328175
CanESM2,rcp45,Recharge Zone,1950-2005,Spring,7.690994192313795
CCSM4,rcp45,Recharge Zone,1950-2005,Spring,7.794027088611773
CNRM-CM5,rcp45,Recharge Zone,1950-2005,Spring,7.7198483721924775
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1950-2005,Spring,7.703765686375105
GFDL-ESM2G,rcp45,Recharge Zone,1950-2005,Spring,7.770524468106379
GFDL-ESM2M,rcp45,Recharge Zone,1950-2005,Spring,7.7142613356224
HadGEM2-CC365,rcp45,Recharge Zone,1950-2005,Spring,7.676947487287272
HadGEM2-ES365,rcp45,Recharge Zone,1950-2005,Spring,7.7788496558410305
inmcm4,rcp45,Recharge Zone,1950-2005,Spring,7.692955374049414
IPSL-CM5A-LR,rcp45,Recharge Zone,1950-2005,Spring,7.691116276890733
IPSL-CM5A-MR,rcp45,Recharge Zone,1950-2005,Spring,7.630767108071633
IPSL-CM5B-LR,rcp45,Recharge Zone,1950-2005,Spring,7.742508159123928
MIROC-ESM-CHEM,rcp45,Recharge Zone,1950-2005,Spring,7.671100043324481
MIROC-ESM,rcp45,Recharge Zone,1950-2005,Spring,7.6900554409742226
MIROC5,rcp45,Recharge Zone,1950-2005,Spring,7.75231194040276
MRI-CGCM3,rcp45,Recharge Zone,1950-2005,Spring,7.783226522554609
NorESM1-M,rcp45,Recharge Zone,1950-2005,Spring,7.721391757227397
bcc-csm1-1-m,rcp45,Recharge Zone,2010-2039,Spring,7.032130902971828
bcc-csm1-1,rcp45,Recharge Zone,2010-2039,Spring,7.275021962004928
BNU-ESM,rcp45,Recharge Zone,2010-2039,Spring,8.469238708776432
CanESM2,rcp45,Recharge Zone,2010-2039,Spring,7.331822035125635
CCSM4,rcp45,Recharge Zone,2010-2039,Spring,7.960304963479241
CNRM-CM5,rcp45,Recharge Zone,2010-2039,Spring,8.001458090815992
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2010-2039,Spring,7.152339878352032
GFDL-ESM2G,rcp45,Recharge Zone,2010-2039,Spring,6.936358289383388
GFDL-ESM2M,rcp45,Recharge Zone,2010-2039,Spring,7.99808223902433
HadGEM2-CC365,rcp45,Recharge Zone,2010-2039,Spring,7.669783952915029
HadGEM2-ES365,rcp45,Recharge Zone,2010-2039,Spring,7.740175845762082
inmcm4,rcp45,Recharge Zone,2010-2039,Spring,7.703938507754938
IPSL-CM5A-LR,rcp45,Recharge Zone,2010-2039,Spring,5.9904975166540435
IPSL-CM5A-MR,rcp45,Recharge Zone,2010-2039,Spring,7.813314040077672
IPSL-CM5B-LR,rcp45,Recharge Zone,2010-2039,Spring,8.851508146270865
MIROC-ESM-CHEM,rcp45,Recharge Zone,2010-2039,Spring,7.336675828293151
MIROC-ESM,rcp45,Recharge Zone,2010-2039,Spring,8.700012570903167
MIROC5,rcp45,Recharge Zone,2010-2039,Spring,7.569839781147574
MRI-CGCM3,rcp45,Recharge Zone,2010-2039,Spring,8.046641748335151
NorESM1-M,rcp45,Recharge Zone,2010-2039,Spring,8.274577299132442
bcc-csm1-1-m,rcp45,Recharge Zone,2040-2069,Spring,7.464022627070815
bcc-csm1-1,rcp45,Recharge Zone,2040-2069,Spring,7.505353283182683
BNU-ESM,rcp45,Recharge Zone,2040-2069,Spring,8.889338068131478
CanESM2,rcp45,Recharge Zone,2040-2069,Spring,7.161002027107925
CCSM4,rcp45,Recharge Zone,2040-2069,Spring,7.613150851298443
CNRM-CM5,rcp45,Recharge Zone,2040-2069,Spring,7.973269205451328
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2040-2069,Spring,8.275376380527335
GFDL-ESM2G,rcp45,Recharge Zone,2040-2069,Spring,6.6602903744295485
GFDL-ESM2M,rcp45,Recharge Zone,2040-2069,Spring,7.4936484092908815
HadGEM2-CC365,rcp45,Recharge Zone,2040-2069,Spring,8.732610682915587
HadGEM2-ES365,rcp45,Recharge Zone,2040-2069,Spring,7.7080871030889275
inmcm4,rcp45,Recharge Zone,2040-2069,Spring,7.136135799749895
IPSL-CM5A-LR,rcp45,Recharge Zone,2040-2069,Spring,6.179708820733336
IPSL-CM5A-MR,rcp45,Recharge Zone,2040-2069,Spring,6.49738259834445
IPSL-CM5B-LR,rcp45,Recharge Zone,2040-2069,Spring,8.624019606113706
MIROC-ESM-CHEM,rcp45,Recharge Zone,2040-2069,Spring,7.671461897149406
MIROC-ESM,rcp45,Recharge Zone,2040-2069,Spring,9.08365671778689
MIROC5,rcp45,Recharge Zone,2040-2069,Spring,7.51140946750356
MRI-CGCM3,rcp45,Recharge Zone,2040-2069,Spring,8.487427059836778
NorESM1-M,rcp45,Recharge Zone,2040-2069,Spring,7.52305908021739
bcc-csm1-1-m,rcp45,Recharge Zone,2070-2099,Spring,7.004894535694712
bcc-csm1-1,rcp45,Recharge Zone,2070-2099,Spring,7.419876938131207
BNU-ESM,rcp45,Recharge Zone,2070-2099,Spring,7.052948596662398
CanESM2,rcp45,Recharge Zone,2070-2099,Spring,8.285821788408583
CCSM4,rcp45,Recharge Zone,2070-2099,Spring,8.550355276748208
CNRM-CM5,rcp45,Recharge Zone,2070-2099,Spring,8.35453650485733
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2070-2099,Spring,8.195967006726315
GFDL-ESM2G,rcp45,Recharge Zone,2070-2099,Spring,7.37164123665289
GFDL-ESM2M,rcp45,Recharge Zone,2070-2099,Spring,7.2792125730470465
HadGEM2-CC365,rcp45,Recharge Zone,2070-2099,Spring,8.468854518201516
HadGEM2-ES365,rcp45,Recharge Zone,2070-2099,Spring,8.665590079652
inmcm4,rcp45,Recharge Zone,2070-2099,Spring,7.903927425676214
IPSL-CM5A-LR,rcp45,Recharge Zone,2070-2099,Spring,6.401525275925694
IPSL-CM5A-MR,rcp45,Recharge Zone,2070-2099,Spring,4.67166608245268
IPSL-CM5B-LR,rcp45,Recharge Zone,2070-2099,Spring,8.497443840389185
MIROC-ESM-CHEM,rcp45,Recharge Zone,2070-2099,Spring,7.261375794507122
MIROC-ESM,rcp45,Recharge Zone,2070-2099,Spring,7.660335020555727
MIROC5,rcp45,Recharge Zone,2070-2099,Spring,7.804289126734945
MRI-CGCM3,rcp45,Recharge Zone,2070-2099,Spring,7.904287773944022
NorESM1-M,rcp45,Recharge Zone,2070-2099,Spring,6.983050520354632
bcc-csm1-1-m,rcp85,Recharge Zone,1971-2000,Spring,8.170916295464904
bcc-csm1-1,rcp85,Recharge Zone,1971-2000,Spring,7.5167067854472265
BNU-ESM,rcp85,Recharge Zone,1971-2000,Spring,8.320013616057835
CanESM2,rcp85,Recharge Zone,1971-2000,Spring,7.898117785478642
CCSM4,rcp85,Recharge Zone,1971-2000,Spring,8.428500675261654
CNRM-CM5,rcp85,Recharge Zone,1971-2000,Spring,7.877652451818513
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1971-2000,Spring,7.563131774591342
GFDL-ESM2G,rcp85,Recharge Zone,1971-2000,Spring,7.433008553338905
GFDL-ESM2M,rcp85,Recharge Zone,1971-2000,Spring,7.983909565132112
HadGEM2-CC365,rcp85,Recharge Zone,1971-2000,Spring,7.938287345318791
HadGEM2-ES365,rcp85,Recharge Zone,1971-2000,Spring,7.426477216335305
inmcm4,rcp85,Recharge Zone,1971-2000,Spring,7.71128735018586
IPSL-CM5A-LR,rcp85,Recharge Zone,1971-2000,Spring,7.483365519619074
IPSL-CM5A-MR,rcp85,Recharge Zone,1971-2000,Spring,6.83460908840345
IPSL-CM5B-LR,rcp85,Recharge Zone,1971-2000,Spring,7.269997853887103
MIROC-ESM-CHEM,rcp85,Recharge Zone,1971-2000,Spring,7.8396157308964325
MIROC-ESM,rcp85,Recharge Zone,1971-2000,Spring,7.975479422647604
MIROC5,rcp85,Recharge Zone,1971-2000,Spring,7.167128933108762
MRI-CGCM3,rcp85,Recharge Zone,1971-2000,Spring,7.5084455057233335
NorESM1-M,rcp85,Recharge Zone,1971-2000,Spring,7.940586799071428
bcc-csm1-1-m,rcp85,Recharge Zone,1950-2005,Spring,7.688495709919941
bcc-csm1-1,rcp85,Recharge Zone,1950-2005,Spring,7.679718005941427
BNU-ESM,rcp85,Recharge Zone,1950-2005,Spring,7.789722761328175
CanESM2,rcp85,Recharge Zone,1950-2005,Spring,7.690994192313795
CCSM4,rcp85,Recharge Zone,1950-2005,Spring,7.794027088611773
CNRM-CM5,rcp85,Recharge Zone,1950-2005,Spring,7.7198483721924775
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1950-2005,Spring,7.703765686375105
GFDL-ESM2G,rcp85,Recharge Zone,1950-2005,Spring,7.770524468106379
GFDL-ESM2M,rcp85,Recharge Zone,1950-2005,Spring,7.7142613356224
HadGEM2-CC365,rcp85,Recharge Zone,1950-2005,Spring,7.676947487287272
HadGEM2-ES365,rcp85,Recharge Zone,1950-2005,Spring,7.7788496558410305
inmcm4,rcp85,Recharge Zone,1950-2005,Spring,7.692955374049414
IPSL-CM5A-LR,rcp85,Recharge Zone,1950-2005,Spring,7.691116276890733
IPSL-CM5A-MR,rcp85,Recharge Zone,1950-2005,Spring,7.630767108071633
IPSL-CM5B-LR,rcp85,Recharge Zone,1950-2005,Spring,7.742508159123928
MIROC-ESM-CHEM,rcp85,Recharge Zone,1950-2005,Spring,7.671100043324481
MIROC-ESM,rcp85,Recharge Zone,1950-2005,Spring,7.6900554409742226
MIROC5,rcp85,Recharge Zone,1950-2005,Spring,7.75231194040276
MRI-CGCM3,rcp85,Recharge Zone,1950-2005,Spring,7.783226522554609
NorESM1-M,rcp85,Recharge Zone,1950-2005,Spring,7.721391757227397
bcc-csm1-1-m,rcp85,Recharge Zone,2010-2039,Spring,7.460804622611515
bcc-csm1-1,rcp85,Recharge Zone,2010-2039,Spring,7.099083719844075
BNU-ESM,rcp85,Recharge Zone,2010-2039,Spring,7.767734297038416
CanESM2,rcp85,Recharge Zone,2010-2039,Spring,8.83965675002523
CCSM4,rcp85,Recharge Zone,2010-2039,Spring,8.532279089594581
CNRM-CM5,rcp85,Recharge Zone,2010-2039,Spring,8.301846717796275
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2010-2039,Spring,6.666889323138683
GFDL-ESM2G,rcp85,Recharge Zone,2010-2039,Spring,6.4613153568831585
GFDL-ESM2M,rcp85,Recharge Zone,2010-2039,Spring,7.899714445316881
HadGEM2-CC365,rcp85,Recharge Zone,2010-2039,Spring,6.598801242694915
HadGEM2-ES365,rcp85,Recharge Zone,2010-2039,Spring,8.32258693922043
inmcm4,rcp85,Recharge Zone,2010-2039,Spring,7.0002343974894305
IPSL-CM5A-LR,rcp85,Recharge Zone,2010-2039,Spring,7.463826445632013
IPSL-CM5A-MR,rcp85,Recharge Zone,2010-2039,Spring,6.370999163786106
IPSL-CM5B-LR,rcp85,Recharge Zone,2010-2039,Spring,8.436518016996963
MIROC-ESM-CHEM,rcp85,Recharge Zone,2010-2039,Spring,8.59104654884161
MIROC-ESM,rcp85,Recharge Zone,2010-2039,Spring,8.109205569119057
MIROC5,rcp85,Recharge Zone,2010-2039,Spring,7.64922690307306
MRI-CGCM3,rcp85,Recharge Zone,2010-2039,Spring,6.707627388682889
NorESM1-M,rcp85,Recharge Zone,2010-2039,Spring,7.521770704269634
bcc-csm1-1-m,rcp85,Recharge Zone,2040-2069,Spring,8.005697189016338
bcc-csm1-1,rcp85,Recharge Zone,2040-2069,Spring,6.551763061978005
BNU-ESM,rcp85,Recharge Zone,2040-2069,Spring,7.432977327025859
CanESM2,rcp85,Recharge Zone,2040-2069,Spring,7.57181288724569
CCSM4,rcp85,Recharge Zone,2040-2069,Spring,8.189484889261037
CNRM-CM5,rcp85,Recharge Zone,2040-2069,Spring,7.311195745541047
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2040-2069,Spring,8.40618681684129
GFDL-ESM2G,rcp85,Recharge Zone,2040-2069,Spring,6.910835675449088
GFDL-ESM2M,rcp85,Recharge Zone,2040-2069,Spring,8.713547946348411
HadGEM2-CC365,rcp85,Recharge Zone,2040-2069,Spring,8.625580591560247
HadGEM2-ES365,rcp85,Recharge Zone,2040-2069,Spring,7.682982402455206
inmcm4,rcp85,Recharge Zone,2040-2069,Spring,7.3350103400635485
IPSL-CM5A-LR,rcp85,Recharge Zone,2040-2069,Spring,6.95992775849827
IPSL-CM5A-MR,rcp85,Recharge Zone,2040-2069,Spring,4.728766215468242
IPSL-CM5B-LR,rcp85,Recharge Zone,2040-2069,Spring,7.745864127967612
MIROC-ESM-CHEM,rcp85,Recharge Zone,2040-2069,Spring,7.891520327917769
MIROC-ESM,rcp85,Recharge Zone,2040-2069,Spring,7.655393834829411
MIROC5,rcp85,Recharge Zone,2040-2069,Spring,6.999537883278601
MRI-CGCM3,rcp85,Recharge Zone,2040-2069,Spring,7.685936224824547
NorESM1-M,rcp85,Recharge Zone,2040-2069,Spring,8.069796944973143
bcc-csm1-1-m,rcp85,Recharge Zone,2070-2099,Spring,7.514514688708273
bcc-csm1-1,rcp85,Recharge Zone,2070-2099,Spring,5.3376153403042
BNU-ESM,rcp85,Recharge Zone,2070-2099,Spring,6.770354193958869
CanESM2,rcp85,Recharge Zone,2070-2099,Spring,6.84930683809674
CCSM4,rcp85,Recharge Zone,2070-2099,Spring,8.218846265869251
CNRM-CM5,rcp85,Recharge Zone,2070-2099,Spring,7.257680123428077
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2070-2099,Spring,7.190096863929905
GFDL-ESM2G,rcp85,Recharge Zone,2070-2099,Spring,6.400299929459106
GFDL-ESM2M,rcp85,Recharge Zone,2070-2099,Spring,6.970433192484683
HadGEM2-CC365,rcp85,Recharge Zone,2070-2099,Spring,7.608588328181209
HadGEM2-ES365,rcp85,Recharge Zone,2070-2099,Spring,8.809784113690434
inmcm4,rcp85,Recharge Zone,2070-2099,Spring,6.0207997639362185
IPSL-CM5A-LR,rcp85,Recharge Zone,2070-2099,Spring,4.914271050243397
IPSL-CM5A-MR,rcp85,Recharge Zone,2070-2099,Spring,4.135946338710981
IPSL-CM5B-LR,rcp85,Recharge Zone,2070-2099,Spring,6.839850752509605
MIROC-ESM-CHEM,rcp85,Recharge Zone,2070-2099,Spring,6.556927733153424
MIROC-ESM,rcp85,Recharge Zone,2070-2099,Spring,6.210682224831263
MIROC5,rcp85,Recharge Zone,2070-2099,Spring,6.424342082395426
MRI-CGCM3,rcp85,Recharge Zone,2070-2099,Spring,7.235086076241093
NorESM1-M,rcp85,Recharge Zone,2070-2099,Spring,7.283678145175125
bcc-csm1-1-m,rcp45,Contributing Zone,1971-2000,Spring,8.437558753624154
bcc-csm1-1,rcp45,Contributing Zone,1971-2000,Spring,7.756956834102266
BNU-ESM,rcp45,Contributing Zone,1971-2000,Spring,8.53001155813884
CanESM2,rcp45,Contributing Zone,1971-2000,Spring,8.215890281478101
CCSM4,rcp45,Contributing Zone,1971-2000,Spring,8.725400963759052
CNRM-CM5,rcp45,Contributing Zone,1971-2000,Spring,8.085967537055037
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1971-2000,Spring,7.7118264369402425
GFDL-ESM2G,rcp45,Contributing Zone,1971-2000,Spring,7.689226234213908
GFDL-ESM2M,rcp45,Contributing Zone,1971-2000,Spring,8.294242168039121
HadGEM2-CC365,rcp45,Contributing Zone,1971-2000,Spring,8.254849660175736
HadGEM2-ES365,rcp45,Contributing Zone,1971-2000,Spring,7.705051425190036
inmcm4,rcp45,Contributing Zone,1971-2000,Spring,7.92479950304962
IPSL-CM5A-LR,rcp45,Contributing Zone,1971-2000,Spring,7.704910443685083
IPSL-CM5A-MR,rcp45,Contributing Zone,1971-2000,Spring,7.1283862270656115
IPSL-CM5B-LR,rcp45,Contributing Zone,1971-2000,Spring,7.44288420819919
MIROC-ESM-CHEM,rcp45,Contributing Zone,1971-2000,Spring,8.015613303985035
MIROC-ESM,rcp45,Contributing Zone,1971-2000,Spring,8.204420695404128
MIROC5,rcp45,Contributing Zone,1971-2000,Spring,7.407963649447763
MRI-CGCM3,rcp45,Contributing Zone,1971-2000,Spring,7.825027297265037
NorESM1-M,rcp45,Contributing Zone,1971-2000,Spring,8.205177631903737
bcc-csm1-1-m,rcp45,Contributing Zone,1950-2005,Spring,7.949492789177437
bcc-csm1-1,rcp45,Contributing Zone,1950-2005,Spring,7.938105981209291
BNU-ESM,rcp45,Contributing Zone,1950-2005,Spring,8.05114328754609
CanESM2,rcp45,Contributing Zone,1950-2005,Spring,7.945360537275796
CCSM4,rcp45,Contributing Zone,1950-2005,Spring,8.05865700500548
CNRM-CM5,rcp45,Contributing Zone,1950-2005,Spring,7.974686961631706
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1950-2005,Spring,7.9655928673323375
GFDL-ESM2G,rcp45,Contributing Zone,1950-2005,Spring,8.017350589823968
GFDL-ESM2M,rcp45,Contributing Zone,1950-2005,Spring,7.980446254040702
HadGEM2-CC365,rcp45,Contributing Zone,1950-2005,Spring,7.9407116492751415
HadGEM2-ES365,rcp45,Contributing Zone,1950-2005,Spring,8.046704547530451
inmcm4,rcp45,Contributing Zone,1950-2005,Spring,7.942013509028916
IPSL-CM5A-LR,rcp45,Contributing Zone,1950-2005,Spring,7.9546662076805505
IPSL-CM5A-MR,rcp45,Contributing Zone,1950-2005,Spring,7.892457135780776
IPSL-CM5B-LR,rcp45,Contributing Zone,1950-2005,Spring,8.005177251580653
MIROC-ESM-CHEM,rcp45,Contributing Zone,1950-2005,Spring,7.933522968635518
MIROC-ESM,rcp45,Contributing Zone,1950-2005,Spring,7.937172777122918
MIROC5,rcp45,Contributing Zone,1950-2005,Spring,8.007625717176866
MRI-CGCM3,rcp45,Contributing Zone,1950-2005,Spring,8.054997121420957
NorESM1-M,rcp45,Contributing Zone,1950-2005,Spring,7.98389407136963
bcc-csm1-1-m,rcp45,Contributing Zone,2010-2039,Spring,7.297553992993639
bcc-csm1-1,rcp45,Contributing Zone,2010-2039,Spring,7.5700048317050745
BNU-ESM,rcp45,Contributing Zone,2010-2039,Spring,8.816314035800783
CanESM2,rcp45,Contributing Zone,2010-2039,Spring,7.607682123974389
CCSM4,rcp45,Contributing Zone,2010-2039,Spring,8.363882801336521
CNRM-CM5,rcp45,Contributing Zone,2010-2039,Spring,8.433221640962554
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2010-2039,Spring,7.495006940545196
GFDL-ESM2G,rcp45,Contributing Zone,2010-2039,Spring,7.324858442787823
GFDL-ESM2M,rcp45,Contributing Zone,2010-2039,Spring,8.200902282497342
HadGEM2-CC365,rcp45,Contributing Zone,2010-2039,Spring,7.813166222010585
HadGEM2-ES365,rcp45,Contributing Zone,2010-2039,Spring,8.100806678132543
inmcm4,rcp45,Contributing Zone,2010-2039,Spring,8.050018975924614
IPSL-CM5A-LR,rcp45,Contributing Zone,2010-2039,Spring,6.2330034099567255
IPSL-CM5A-MR,rcp45,Contributing Zone,2010-2039,Spring,8.011186887206831
IPSL-CM5B-LR,rcp45,Contributing Zone,2010-2039,Spring,9.13348611404158
MIROC-ESM-CHEM,rcp45,Contributing Zone,2010-2039,Spring,7.580196659456
MIROC-ESM,rcp45,Contributing Zone,2010-2039,Spring,9.00144428544853
MIROC5,rcp45,Contributing Zone,2010-2039,Spring,7.769000179833148
MRI-CGCM3,rcp45,Contributing Zone,2010-2039,Spring,8.197760533106722
NorESM1-M,rcp45,Contributing Zone,2010-2039,Spring,8.66833809237987
bcc-csm1-1-m,rcp45,Contributing Zone,2040-2069,Spring,7.6808600194332834
bcc-csm1-1,rcp45,Contributing Zone,2040-2069,Spring,7.820833580828286
BNU-ESM,rcp45,Contributing Zone,2040-2069,Spring,9.189944728139357
CanESM2,rcp45,Contributing Zone,2040-2069,Spring,7.565523018817462
CCSM4,rcp45,Contributing Zone,2040-2069,Spring,8.04764262932954
CNRM-CM5,rcp45,Contributing Zone,2040-2069,Spring,8.269964858901972
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2040-2069,Spring,8.757602358976087
GFDL-ESM2G,rcp45,Contributing Zone,2040-2069,Spring,7.076660664130443
GFDL-ESM2M,rcp45,Contributing Zone,2040-2069,Spring,7.806801466924403
HadGEM2-CC365,rcp45,Contributing Zone,2040-2069,Spring,8.867166735742355
HadGEM2-ES365,rcp45,Contributing Zone,2040-2069,Spring,8.002451827663212
inmcm4,rcp45,Contributing Zone,2040-2069,Spring,7.372240338683445
IPSL-CM5A-LR,rcp45,Contributing Zone,2040-2069,Spring,6.296434362794803
